"index","relation-type","term1","b1","e1","term2","b2","e2","sentence","job"
"1333","TWrex-prevent","[ARRHYTHMIA]","65","75","[AGENT]","212","217","Bretylium tosylate is used to treat life-threatening ventricular [ARRHYTHMIA]s, principally ventricular fibrillation and ventricular tachycardia, that have not responded to treatment with first-line antiarrhythmic [AGENT]s.","0"
"1334","TWrex-prevent","[GERD]","84","88","[OMEPRAZOLE]","216","226","While antacids and histamine H(2)-receptor antagonists have a role in treating mild [GERD], effective relief of many cases of oesophagitis is usually only achieved by using proton-pump inhibitors such as lansoprazole, [OMEPRAZOLE] and rabeprazole.","0"
"1335","TWrex-prevent","[FEVER]","186","191","[BENZATHINE PENICILLIN G]","73","96","Based on the pharmacokinetic profiles, it is suggested that 1,200,000 IU [BENZATHINE PENICILLIN G] given every 4 weeks is an appropriate regimen for preventing the recurrence of rheumatic [FEVER] in Thai adults.","0"
"1336","TWrex-prevent","[MALARIA]","70","77","[ANTIMALARIAL DRUG]","14","31","The spread of [ANTIMALARIAL DRUG] resistance has major consequences for [MALARIA] control in tropical Africa.","0"
"1337","TWrex-prevent","[POSTMENOPAUSAL OSTEOPOROSIS]","218","245","[RISEDRONATE]","94","105","As antiresorptive agents, oral and intravenous bisphosphonates such as alendronate (Fosamax), [RISEDRONATE] (Actonel), ibandronate (Boniva), pamidronate (Aredia), and zoledronic acid (Zometa) have efficacy in preventing [POSTMENOPAUSAL OSTEOPOROSIS], cancer treatment-related bone loss, or skeletal complications of metastatic disease.","0"
"1338","TWrex-prevent","[NEUTROPENIA]","140","151","[AMPHOTERICIN]","77","89","Moreover, the new agents are active against some fungi that are resistant to [AMPHOTERICIN] B, may have a role in the management of fever and [NEUTROPENIA], and provide exciting options for combination antifungal therapy.","0"
"1342","TWrex-prevent","[THROMBOSIS]","255","265","[PENTOXIFYLLINE]","217","231","The appropriate management and treatment may be based upon clinical expression, in case of arterial thrombosis (type II APS), or deep vein thrombosis (Type II) long term anticoagulation is indicated; Association with [PENTOXIFYLLINE] in the case of retinal [THROMBOSIS] (type IIIa), Stroke (type IIIb) cases may require long term anticoagulation as well as aspirin.","0"
"1343","TWrex-prevent","[MALARIA]","7","14","[ANTIMALARIAL DRUG]","195","212","As the [MALARIA] parasites become increasingly resistant to the quinoline antimalarials, there is an urgent need to understand the molecular mechanisms for drug action and resistance so that novel [ANTIMALARIAL DRUG]s can be designed.","0"
"1344","TWrex-prevent","[MALARIA]","76","83","[ANTIMALARIAL DRUG]","195","212","As the malaria parasites become increasingly resistant to the quinoline anti[MALARIA]ls, there is an urgent need to understand the molecular mechanisms for drug action and resistance so that novel [ANTIMALARIAL DRUG]s can be designed.","0"
"1345","TWrex-prevent","[S. MANSONI]","204","214","[OXAMNIQUINE]","169","180","Chemical and histological indices of liver fibrosis were measured after eight, 18 and 28 weeks in mice infected with Schistosoma mansoni and treated at eight weeks with [OXAMNIQUINE], in mice infected with [S. MANSONI] and not treated and in mice not infected with s. mansoni.","0"
"1346","TWrex-prevent","[S. MANSONI]","261","271","[OXAMNIQUINE]","169","180","Chemical and histological indices of liver fibrosis were measured after eight, 18 and 28 weeks in mice infected with Schistosoma mansoni and treated at eight weeks with [OXAMNIQUINE], in mice infected with s. mansoni and not treated and in mice not infected with [S. MANSONI].","0"
"1347","TWrex-prevent","[DEFICIENCY]","11","21","[FLAVIN MONONUCLEOTIDE]","107","128","Riboflavin [DEFICIENCY] decreases the activity of rat hepatic microsomal enzymes, addition of riboflavin and [FLAVIN MONONUCLEOTIDE] stimulates their activity.","0"
"1348","TWrex-prevent","[ERYTHEMA]","119","127","[THALIDOMIDE]","66","77","Therefore, there is a need to develop nonteratogenic analogues of [THALIDOMIDE] that can provide effective treatment for [ERYTHEMA] nodosum leprosum and other serious conditions without increasing the potential for another epidemic of thalidomide-related birth defects.","0"
"1349","TWrex-prevent","[ERYTHEMA]","119","127","[THALIDOMIDE]","231","242","Therefore, there is a need to develop nonteratogenic analogues of thalidomide that can provide effective treatment for [ERYTHEMA] nodosum leprosum and other serious conditions without increasing the potential for another epidemic of [THALIDOMIDE]-related birth defects.","0"
"1350","TWrex-prevent","[GVHR]","165","169","[CYCLOSPORIN]","72","83","We have evaluated the effects of three potent immunosuppressive agents: [CYCLOSPORIN] A, FK506, and rapamycin, on a murine chronic graft-versus-host response (chronic [GVHR].","0"
"1351","TWrex-prevent","[INFECTION]","177","186","[TMP]","121","124","In conclusion, once-daily oral dosing with lomefloxacin is a safe and efficacious alternative to twice-daily dosing with [TMP]/SMX in the treatment of uncomplicated urinary tract [INFECTION]s.","0"
"1352","TWrex-prevent","[DIARRHEA]","63","71","[AGENT]","73","78","These findings indicate that berberine may be an effective anti[DIARRHEA]l [AGENT] in E coli heat-stable enterotoxin mediated secretory diarrhea and provide a basis for the frequent empirical use of berberine alkaloid and berberine-containing plants in gastroenteritis and infectious diarrhea in Asian and other countries.","0"
"1353","TWrex-prevent","[DIARRHEA]","132","140","[AGENT]","73","78","These findings indicate that berberine may be an effective antidiarrheal [AGENT] in E coli heat-stable enterotoxin mediated secretory [DIARRHEA] and provide a basis for the frequent empirical use of berberine alkaloid and berberine-containing plants in gastroenteritis and infectious diarrhea in Asian and other countries.","0"
"1354","TWrex-prevent","[DIARRHEA]","280","288","[AGENT]","73","78","These findings indicate that berberine may be an effective antidiarrheal [AGENT] in E coli heat-stable enterotoxin mediated secretory diarrhea and provide a basis for the frequent empirical use of berberine alkaloid and berberine-containing plants in gastroenteritis and infectious [DIARRHEA] in Asian and other countries.","0"
"1355","TWrex-prevent","[OSTEOPOROSIS]","172","184","[VITAMIN]","140","147","These results indicate that a chronopharmacological approach is beneficial for establishing a more effective and/or safer regimen of active [VITAMIN] D3 for the treatment of [OSTEOPOROSIS].","0"
"1356","TWrex-prevent","[INFECTION]","223","232","[ERYTHROMYCIN]","57","69","We conclude that neonatal ocular prophylaxis with either [ERYTHROMYCIN] or tetracycline ophthalmic ointment does not significantly reduce the incidence of chlamydial conjunctivitis in the offspring of mothers with chlamydial [INFECTION] as compared with silver nitrate, and that better management of maternal chlamydial infection is therefore required.","0"
"1357","TWrex-prevent","[INFECTION]","316","325","[ERYTHROMYCIN]","57","69","We conclude that neonatal ocular prophylaxis with either [ERYTHROMYCIN] or tetracycline ophthalmic ointment does not significantly reduce the incidence of chlamydial conjunctivitis in the offspring of mothers with chlamydial infection as compared with silver nitrate, and that better management of maternal chlamydial [INFECTION] is therefore required.","0"
"1358","TWrex-prevent","[ROSACEA]","173","180","[METRONIDAZOLE]","134","147","Proposed gels, with similar rheological properties, may be used for ex vivo and in vivo studies to obtain a suitable drug activity of [METRONIDAZOLE] in the treatment of acne [ROSACEA].","0"
"1359","TWrex-prevent","[HEPATITIS A]","84","95","[HAV]","39","42","Clinical trials in developed countries [HAV]e demonstrated its efficacy in preventing [HEPATITIS A] in high risk groups, such as travelers to regions where hav infection is endemic and day care children and staff, its efficacy in postexposure conditions and in community outbreaks.","0"
"1360","TWrex-prevent","[HEPATITIS A]","84","95","[HAV]","152","155","Clinical trials in developed countries have demonstrated its efficacy in preventing [HEPATITIS A] in high risk groups, such as travelers to regions where [HAV] infection is endemic and day care children and staff, its efficacy in postexposure conditions and in community outbreaks.","0"
"1361","TWrex-prevent","[DISORDER]","51","59","[LITHIUM]","20","27","The introduction of [LITHIUM] salts to treat bipolar [DISORDER] (BPD) revolutionized the therapy of psychiatric illnesses, but the pathogenesis of the disease and the mechanism of lithium action remain unknown.","0"
"1362","TWrex-prevent","[DISORDER]","51","59","[LITHIUM]","176","183","The introduction of lithium salts to treat bipolar [DISORDER] (BPD) revolutionized the therapy of psychiatric illnesses, but the pathogenesis of the disease and the mechanism of [LITHIUM] action remain unknown.","0"
"1363","TWrex-prevent","[FUNGAL INFECTION]","74","90","[AMB]","175","178","ABLC is a promising, well-tolerated and effective drug for the therapy of [FUNGAL INFECTION]s after the failure of a previous antifungal therapy or after toxic reactions due to [AMB].","0"
"1364","TWrex-prevent","[VITAMIN E DEFICIENCY]","185","205","[VITAMIN E]","0","9","[VITAMIN E] and essential fatty acid status were examined in two groups of patients, one receiving fat-free total parenteral nutrition (TPN) with intravenous all-rac-alpha-tocopherol for [VITAMIN E DEFICIENCY] and the other receiving routine intravenous fat (Intralipid, 10%) emulsions with TPN to supply both fatty acid and vitamin E requirements.","0"
"1365","TWrex-prevent","[VITAMIN E DEFICIENCY]","185","205","[VITAMIN E]","321","330","Vitamin E and essential fatty acid status were examined in two groups of patients, one receiving fat-free total parenteral nutrition (TPN) with intravenous all-rac-alpha-tocopherol for [VITAMIN E DEFICIENCY] and the other receiving routine intravenous fat (Intralipid, 10%) emulsions with TPN to supply both fatty acid and [VITAMIN E] requirements.","0"
"1366","TWrex-prevent","[RABIES]","8","14","[VACCINE]","15","22","A human [RABIES] [VACCINE] prepared in HDC and already licensed for post-exposure vaccination showed only some post-exposure activity in this newly developed potency test, whereas an experimental inactivated rabies vaccine protected all mice.","0"
"1367","TWrex-prevent","[RABIES]","8","14","[VACCINE]","211","218","A human [RABIES] vaccine prepared in HDC and already licensed for post-exposure vaccination showed only some post-exposure activity in this newly developed potency test, whereas an experimental inactivated rabies [VACCINE] protected all mice.","0"
"1368","TWrex-prevent","[RABIES]","204","210","[VACCINE]","15","22","A human rabies [VACCINE] prepared in HDC and already licensed for post-exposure vaccination showed only some post-exposure activity in this newly developed potency test, whereas an experimental inactivated [RABIES] vaccine protected all mice.","0"
"1369","TWrex-prevent","[RABIES]","204","210","[VACCINE]","211","218","A human rabies vaccine prepared in HDC and already licensed for post-exposure vaccination showed only some post-exposure activity in this newly developed potency test, whereas an experimental inactivated [RABIES] [VACCINE] protected all mice.","0"
"1370","TWrex-prevent","[THROMBOSIS]","146","156","[HEPARIN]","120","127","All patients suffered hemispheric ACI, were seen within 24 hours of onset, and were treated with low dose, subcutaneous [HEPARIN] to prevent venous [THROMBOSIS]; 25 received 10 mg.","0"
"1371","TWrex-prevent","[NIGHT BLINDNESS]","100","115","[VITAMIN A]","19","28","Greater intakes of [VITAMIN A] than provided and/or other nutrients may be needed to prevent maternal [NIGHT BLINDNESS] in rural South Asia.","0"
"1372","TWrex-prevent","[ANAEMIA]","137","144","[IRON]","80","84","27 patients had primary bone marrow disease, 25 patients had absent bone marrow [IRON] stores accompanied by inflammation, 17 patients had [ANAEMIA] of chronic disease (ACD) and 8 patients had uncomplicated iron deficiency anaemia (IDA.","0"
"1373","TWrex-prevent","[ANAEMIA]","137","144","[IRON]","203","207","27 patients had primary bone marrow disease, 25 patients had absent bone marrow iron stores accompanied by inflammation, 17 patients had [ANAEMIA] of chronic disease (ACD) and 8 patients had uncomplicated [IRON] deficiency anaemia (IDA.","0"
"1374","TWrex-prevent","[ANAEMIA]","219","226","[IRON]","80","84","27 patients had primary bone marrow disease, 25 patients had absent bone marrow [IRON] stores accompanied by inflammation, 17 patients had anaemia of chronic disease (ACD) and 8 patients had uncomplicated iron deficiency [ANAEMIA] (IDA.","0"
"1375","TWrex-prevent","[ANAEMIA]","219","226","[IRON]","203","207","27 patients had primary bone marrow disease, 25 patients had absent bone marrow iron stores accompanied by inflammation, 17 patients had anaemia of chronic disease (ACD) and 8 patients had uncomplicated [IRON] deficiency [ANAEMIA] (IDA.","0"
"1376","TWrex-prevent","[URINARY INCONTINENCE]","143","163","[CHLORIDE]","24","32","Intravesical oxybutynin [CHLORIDE] was administered to 10 children with neurogenic bladder (myelomeningocele in 9 and imperforate anus in 1) and [URINARY INCONTINENCE] refractory to regimens of intermittent catheterization and oral anticholinergic medication.","0"
"1377","TWrex-prevent","[AM]","94","96","[ACETAZOLAMIDE]","104","117","Overall, the results indicated that increases in CBF were similar in subjects with or without [AM]S while [ACETAZOLAMIDE]-provoked increases of CBF in AMS subjects caused no acute change in symptoms.","0"
"1378","TWrex-prevent","[AM]","147","149","[ACETAZOLAMIDE]","104","117","Overall, the results indicated that increases in CBF were similar in subjects with or without AMS while [ACETAZOLAMIDE]-provoked increases of CBF in [AM]S subjects caused no acute change in symptoms.","0"
"1379","TWrex-prevent","[AIDS]","77","81","[3TC'S]","26","31","Consumer groups warn that [3TC'S] high cost may prevent it from being added to [AIDS] Drug Reimbursement Programs.","0"
"1380","TWrex-prevent","[CIRRHOSIS]","48","57","[ACID]","16","20","Ursodeoxycholic [ACID] therapy in primary biliary [CIRRHOSIS] reduces cholestasis and prolongs transplant-free survival; no other drugs are of proven efficacy in primary biliary cirrhosis, and none have any benefit on the disease progression of primary sclerosing cholangitis.","0"
"1382","TWrex-prevent","[DEPLETION]","386","395","[NACL]","136","140","The sexual dimorphism of sodium intake is a secondary sexual characteristic because after castration at 1 day of age male rats drank 3% [NACL] in adulthood in a manner similar to that of females in both the need-free and need-induced state, and females given long-term, neonatal testosterone drank low, malelike volumes of 3% nacl on a daily need-free basis, but their response to sodium [DEPLETION] was unchanged.","0"
"1383","TWrex-prevent","[DEPLETION]","386","395","[NACL]","324","328","The sexual dimorphism of sodium intake is a secondary sexual characteristic because after castration at 1 day of age male rats drank 3% nacl in adulthood in a manner similar to that of females in both the need-free and need-induced state, and females given long-term, neonatal testosterone drank low, malelike volumes of 3% [NACL] on a daily need-free basis, but their response to sodium [DEPLETION] was unchanged.","0"
"1384","TWrex-prevent","[INCONTINENCE]","151","163","[CHLORIDE]","24","32","Intravesical oxybutynin [CHLORIDE] was administered to 10 children with neurogenic bladder (myelomeningocele in 9 and imperforate anus in 1) and urinary [INCONTINENCE] refractory to regimens of intermittent catheterization and oral anticholinergic medication.","0"
"1388","TWrex-prevent","[MYOCARDIAL INFARCTION]","104","125","[CLOPIDOGREL]","42","53","Recently, the results of two major trials [CLOPIDOGREL] as Adjunctive Reperfusion Therapy-Thrombolysis in [MYOCARDIAL INFARCTION] 28, Clopidogrel and Metoprolol in Myocardial Infarction Trial established the pivotal role of clopidogrel in the other spectrum of ACS-STEMI.","0"
"1389","TWrex-prevent","[MYOCARDIAL INFARCTION]","104","125","[CLOPIDOGREL]","130","141","Recently, the results of two major trials Clopidogrel as Adjunctive Reperfusion Therapy-Thrombolysis in [MYOCARDIAL INFARCTION] 28, [CLOPIDOGREL] and Metoprolol in Myocardial Infarction Trial established the pivotal role of clopidogrel in the other spectrum of ACS-STEMI.","0"
"1390","TWrex-prevent","[MYOCARDIAL INFARCTION]","104","125","[CLOPIDOGREL]","220","231","Recently, the results of two major trials Clopidogrel as Adjunctive Reperfusion Therapy-Thrombolysis in [MYOCARDIAL INFARCTION] 28, Clopidogrel and Metoprolol in Myocardial Infarction Trial established the pivotal role of [CLOPIDOGREL] in the other spectrum of ACS-STEMI.","0"
"1391","TWrex-prevent","[MYOCARDIAL INFARCTION]","160","181","[CLOPIDOGREL]","42","53","Recently, the results of two major trials [CLOPIDOGREL] as Adjunctive Reperfusion Therapy-Thrombolysis in Myocardial Infarction 28, Clopidogrel and Metoprolol in [MYOCARDIAL INFARCTION] Trial established the pivotal role of clopidogrel in the other spectrum of ACS-STEMI.","0"
"1392","TWrex-prevent","[MYOCARDIAL INFARCTION]","160","181","[CLOPIDOGREL]","130","141","Recently, the results of two major trials Clopidogrel as Adjunctive Reperfusion Therapy-Thrombolysis in Myocardial Infarction 28, [CLOPIDOGREL] and Metoprolol in [MYOCARDIAL INFARCTION] Trial established the pivotal role of clopidogrel in the other spectrum of ACS-STEMI.","0"
"1393","TWrex-prevent","[MYOCARDIAL INFARCTION]","160","181","[CLOPIDOGREL]","220","231","Recently, the results of two major trials Clopidogrel as Adjunctive Reperfusion Therapy-Thrombolysis in Myocardial Infarction 28, Clopidogrel and Metoprolol in [MYOCARDIAL INFARCTION] Trial established the pivotal role of [CLOPIDOGREL] in the other spectrum of ACS-STEMI.","0"
"1394","TWrex-prevent","[CROHN]","153","158","[AZATHIOPRINE]","7","19","Use of [AZATHIOPRINE]/mercaptopurine for induction and maintenance of remission in corticosteroid-dependent or corticosteroid-refractory IBD, particularly [CROHN]'s disease, is evidence based.","0"
"1395","TWrex-prevent","[VENTRICULAR PREMATURE COMPLEX]","19","48","[DISOPYRAMIDE]","92","104","The mean number of [VENTRICULAR PREMATURE COMPLEX]es per hour was reduced to 156 +/- 217 with [DISOPYRAMIDE] alone, 188 +/- 298 with mexiletine alone and 76 +/- 144 with combination therapy (p less than 0.05 for combination therapy versus disopyramide or mexiletine alone; p = NS for disopyramide versus mexiletine.","0"
"1396","TWrex-prevent","[VENTRICULAR PREMATURE COMPLEX]","19","48","[DISOPYRAMIDE]","235","247","The mean number of [VENTRICULAR PREMATURE COMPLEX]es per hour was reduced to 156 +/- 217 with disopyramide alone, 188 +/- 298 with mexiletine alone and 76 +/- 144 with combination therapy (p less than 0.05 for combination therapy versus [DISOPYRAMIDE] or mexiletine alone; p = NS for disopyramide versus mexiletine.","0"
"1398","TWrex-prevent","[DEFICIENCY]","103","113","[COBALAMIN]","119","128","Folate fortification of the diet and supplement use have also markedly reduced the frequency of folate [DEFICIENCY], and [COBALAMIN] deficiency is now the more common deficiency state, especially among the elderly.","0"
"1399","TWrex-prevent","[DEFICIENCY]","129","139","[COBALAMIN]","119","128","Folate fortification of the diet and supplement use have also markedly reduced the frequency of folate deficiency, and [COBALAMIN] [DEFICIENCY] is now the more common deficiency state, especially among the elderly.","0"
"1400","TWrex-prevent","[DEFICIENCY]","163","173","[COBALAMIN]","119","128","Folate fortification of the diet and supplement use have also markedly reduced the frequency of folate deficiency, and [COBALAMIN] deficiency is now the more common [DEFICIENCY] state, especially among the elderly.","0"
"1401","TWrex-prevent","[THROMBOSIS]","28","38","[FONDAPARINUX]","93","105","The prevalence of deep-vein [THROMBOSIS] was similar in the two groups 5.5% (22 of 400) in the [FONDAPARINUX] group and 4.8 (19 of 395) in the fondaparinux plus stocking group (odds ratio 0.88, 95% confidence interval 0.46 to 1.65, p = 0.69.","0"
"1402","TWrex-prevent","[THROMBOSIS]","28","38","[FONDAPARINUX]","139","151","The prevalence of deep-vein [THROMBOSIS] was similar in the two groups 5.5% (22 of 400) in the fondaparinux group and 4.8 (19 of 395) in the [FONDAPARINUX] plus stocking group (odds ratio 0.88, 95% confidence interval 0.46 to 1.65, p = 0.69.","0"
"1403","TWrex-prevent","[THROMBOSIS]","59","69","[WARFARIN]","144","152","A 47-year-old woman with a history of anemia and deep vein [THROMBOSIS] presented to the hospital with worsening leg edema despite treatment with [WARFARIN].","0"
"1404","TWrex-prevent","[GVHD]","104","108","[MYCOPHENOLATE MOFETIL]","24","45","Cyclosporin A (CsA) and [MYCOPHENOLATE MOFETIL] (MMF) were used to prevent the graft-versus-host disease ([GVHD].","0"
"1408","TWrex-prevent","[MALARIA]","63","70","[ANTIMALARIAL DRUG]","134","151","Artemisinin drugs are of utmost importance in the treatment of [MALARIA], because they represent the sole class of therapeutically used [ANTIMALARIAL DRUG]s to which malaria parasites have not yet developed resistance.","0"
"1409","TWrex-prevent","[MALARIA]","162","169","[ANTIMALARIAL DRUG]","134","151","Artemisinin drugs are of utmost importance in the treatment of malaria, because they represent the sole class of therapeutically used [ANTIMALARIAL DRUG]s to which [MALARIA] parasites have not yet developed resistance.","0"
"1410","TWrex-prevent","[ANEMIA]","94","100","[IRON]","44","48","It illustrates the importance of performing [IRON] studies to confirm suspected iron deficiency [ANEMIA] (IDA.","0"
"1411","TWrex-prevent","[ANEMIA]","94","100","[IRON]","78","82","It illustrates the importance of performing iron studies to confirm suspected [IRON] deficiency [ANEMIA] (IDA.","0"
"1412","TWrex-prevent","[ANGINA PECTORIS]","186","201","[CARVEDILOL]","27","37","We examined the effects of [CARVEDILOL] on cardiac parameters in order to clarify whether beta-blocker may affect left ventricular function in elderly Japanese patients with hypertension, [ANGINA PECTORIS], or both.","0"
"1413","TWrex-prevent","[DISEASE]","138","145","[CYCLOSPORIN]","45","56","A randomized trial was carried out comparing [CYCLOSPORIN] A (CsA) and short-term methotrexate (MTX) versus CsA alone for graft versus host [DISEASE] (GVHD) prophylaxis in patients with severe aplastic anemia (SAA) undergoing allogeneic bone marrow transplantation (BMT) from a compatible sibling.","0"
"1414","TWrex-prevent","[APL]","19","22","[ATRA]","119","123","Updated results of [APL] 91 trial found a Kaplan-Meier estimate of EFS and relapse rate at 4 years of 63% and 31% in the [ATRA] group, as compared to 17% and 78% in the chemotherapy group (P= 10(-4) and relative risk 2.95, P= 10(-4) and relative risk 3.68, respectively.","0"
"1415","TWrex-prevent","[APL]","41","44","[ATRA]","119","123","Updated results of apl 91 trial found a K[APL]an-Meier estimate of EFS and relapse rate at 4 years of 63% and 31% in the [ATRA] group, as compared to 17% and 78% in the chemotherapy group (P= 10(-4) and relative risk 2.95, P= 10(-4) and relative risk 3.68, respectively.","0"
"1416","TWrex-prevent","[HYPONATREMIA]","49","61","[CHLORIDE]","148","156","After birth the baby suffered from polyuria with [HYPONATREMIA], hypomagnesemia and hypercalciuria which could be controlled by treatment with sodium [CHLORIDE] and magnesium.","0"
"1417","TWrex-prevent","[DEFICIENCY]","45","55","[RIBOFLAVIN]","34","44","For the first time, a significant [RIBOFLAVIN] [DEFICIENCY] has been found to be related to CTS. Riboflavin therapy was effective biochemically, subjectively, and objectively, and riboflavin and pyridoxine were even more effective when concomitantly administered.","0"
"1418","TWrex-prevent","[DEFICIENCY]","45","55","[RIBOFLAVIN]","93","103","For the first time, a significant riboflavin [DEFICIENCY] has been found to be related to CTS. [RIBOFLAVIN] therapy was effective biochemically, subjectively, and objectively, and riboflavin and pyridoxine were even more effective when concomitantly administered.","0"
"1419","TWrex-prevent","[DEFICIENCY]","45","55","[RIBOFLAVIN]","176","186","For the first time, a significant riboflavin [DEFICIENCY] has been found to be related to CTS. Riboflavin therapy was effective biochemically, subjectively, and objectively, and [RIBOFLAVIN] and pyridoxine were even more effective when concomitantly administered.","0"
"1420","TWrex-prevent","[ARRHYTHMIA]","71","81","[ENCAINIDE]","0","9","[ENCAINIDE] is effective in suppressing non-life-threatening ventricular [ARRHYTHMIA]s; however, inconsistent results have been noted in patients with more serious ventricular arrhythmias.","0"
"1422","TWrex-prevent","[MUCORMYCOSIS]","32","44","[AMPHOTERICIN B]","143","157","Two patients with rhinocerebral [MUCORMYCOSIS] had progression of their infection to brain abscesses despite aggressive débridement surgery and [AMPHOTERICIN B] therapy.","0"
"1425","TWrex-prevent","[PAIN]","103","107","[PARACETAMOL]","28","39","Familiarity with and use of [PARACETAMOL], perceived strengths and weaknesses of paracetamol for chronic [PAIN], and choices given about therapy changes were investigated.","0"
"1426","TWrex-prevent","[PAIN]","103","107","[PARACETAMOL]","79","90","Familiarity with and use of paracetamol, perceived strengths and weaknesses of [PARACETAMOL] for chronic [PAIN], and choices given about therapy changes were investigated.","0"
"1427","TWrex-prevent","[TESTICULAR TUMOR]","9","25","[PLATINUM]","129","137","Advanced [TESTICULAR TUMOR]s in 34 patients were treated by combination chemotherapy with bleomycin, vinblastine, vincristine, cis [PLATINUM] and actinomycin D. The therapy was divided into 3 phases: 1) induction, 2) consolidation and 3) maintenance.","0"
"1428","TWrex-prevent","[MALARIA]","136","143","[CHLOROQUINE]","48","59","In addition, 28.3% of respondents believed that [CHLOROQUINE] can cause abortion, and only 47.4% of students and teachers were aware that [MALARIA] is more serious in primigravidas than multigravidas.","0"
"1430","TWrex-prevent","[VOMITING]","126","134","[ANTIEMETIC]","54","64","Palonosetron (Aloxi) is a 5-HT(3)-receptor antagonist [ANTIEMETIC] indicated for the prevention of acute and delayed nausea and [VOMITING] following moderately emetogenic chemotherapy and for acute nausea and vomiting following highly emetogenic chemotherapy.","0"
"1431","TWrex-prevent","[VOMITING]","205","213","[ANTIEMETIC]","54","64","Palonosetron (Aloxi) is a 5-HT(3)-receptor antagonist [ANTIEMETIC] indicated for the prevention of acute and delayed nausea and vomiting following moderately emetogenic chemotherapy and for acute nausea and [VOMITING] following highly emetogenic chemotherapy.","0"
"1433","TWrex-prevent","[IDA]","195","198","[IRON]","132","136","Summation of negative effects of hypoxia and lysosome-tropic properties of Ferrum Lec was observed in patients with severe stage of [IRON]-deficiency anemia (IDA), and in rabbits with experimental [IDA], during treatment by intravenous injections of Ferrum Lec.","0"
"1434","TWrex-prevent","[ROTAVIRUS INFECTION]","114","133","[ROTAVIRUS]","65","74","Infant formula supplemented with bovine antibody (BCIg) to human [ROTAVIRUS] has been reported to prevent or modify [ROTAVIRUS INFECTION] and illness.","0"
"1436","TWrex-prevent","[ONYCHOMYCOSIS]","43","56","[CICLOPIROX]","15","25","Treatment with [CICLOPIROX] nail lacquer for [ONYCHOMYCOSIS] has a favorable risk-benefit ratio.","0"
"1437","TWrex-prevent","[CARIES]","64","70","[FLUORIDE]","52","60","Theoretically, one can improve the effectiveness of [FLUORIDE] in [CARIES]-preventive programs by using measures that are more effective than the previous ones and still safe and feasible in everyday conditions.","0"
