"index","relation-type","term1","b1","e1","term2","b2","e2","sentence"
"11","TWrex-cause","infection","202","211","virus","81","86","A significant obstacle to successful immunisation of infants against respiratory-virus-associated disease early in life may be the relatively poor immune response of very young infants to primary virus infection"
"12","TWrex-cause","gestation","135","144","rubella virus","4","17","The rubella virus can infect the fetus at any stage of pregnancy, but defects are rarely noted when this occurs after the 16th week of gestation"
"13","TWrex-cause","cholera","53","60","pasteurella multocida","0","21","Pasteurella multocida is the causative agent of fowl cholera and other diseases of production animals"
"14","TWrex-cause","viral hepatitis","111","126","virus","49","54","Hepatitis delta (delta) virus (HDV), a satellite virus of the hepatitis B virus (HBV), causes a severe form of viral hepatitis in humans"
"15","TWrex-cause","onchocerciasis","0","14","volvulus","155","163","Onchocerciasis (river blindness) is a major parasitic disease of humans in sub-Saharan Africa caused by the microfilarial stage of the nematode Onchocerca volvulus"
"16","TWrex-cause","tungiasis","0","9","tunga penetrans","62","77","Tungiasis is a parasitic skin disease caused by the sand flea Tunga penetrans"
"17","TWrex-cause","infection","44","53","RSV","141","144","To probe the underlying mechanisms that RSV infection increases the susceptibility of asthma, this present study was designed to establish a RSV persistent infection animal model by cyclophosphamide (CYP) pretreatment that more closely mimic human RSV infection"
"18","TWrex-cause","malaria","36","43","plasmodium","57","67","The most common and serious type of malaria is caused by Plasmodium falciparum"
"19","TWrex-cause","disease","8","15","echinococcus","63","75","Hydatid disease is a parasitic disease most commonly caused by Echinococcus granulosus that seldom involves the skeleton and is still common in the countries of the temperate zones"
"20","TWrex-cause","migrans","126","133","lyme disease spirochete","4","27","The Lyme disease spirochete, which had previously been isolated with difficulty from human skin lesions of erythema chronicum migrans of Lyme disease, was grown from six of fourteen skin biopsies cultured in a newly modified Kelly's medium"
"21","TWrex-cause","infection","132","141","MRSA","74","78","It has been reported that newborn babies are compromised hosts, and to be MRSA carriers means that the danger of occurrence of MRSA infection is high"
"22","TWrex-cause","disease","5","12","burgdorferi","64","75","Lyme disease is a multi-system organ disease caused by Borrelia burgdorferi"
"23","TWrex-cause","allergy","132","139","substance","83","92","There are currently no accepted regulatory models for assessing the potential of a substance to cause respiratory sensitization and allergy"
"24","TWrex-cause","viremia","67","74","virus","176","181","Perinatal HIV infection is characterized by a sustained high-level viremia and a high risk of rapid progression to AIDS, indicating a failure of immunologic containment of the virus"
"25","TWrex-cause","mycobacteriosis","207","222","mycobacterium","237","250","The main etiologic diagnosis is bacterial pneumonia, especially pneumococcal pneumonia; the second most frequent cause is Pneumocystis jiroveci (previously named P. carinii) pneumonia and the third cause is mycobacteriosis, particularly Mycobacterium tuberculosis"
"26","TWrex-cause","disease","129","136","legionella","69","79","The glucosyltransferase Lgt1 is one of three glucosylating toxins of Legionella pneumophila, the causative agent of Legionnaires disease"
"27","TWrex-cause","fifth disease","101","114","parvovirus","6","16","Human parvovirus B19 is the aetiological agent of the common childhood disease erythema infectiosum (fifth disease"
"28","TWrex-cause","streptococcal tonsillitis","138","163","streptococcus","73","85","The beta-lactamase activity and the interference between alpha- and beta-streptococci may be a contributory cause to treatment failure in streptococcal tonsillitis"
"29","TWrex-cause","AIDS","90","94","HIV","61","64","Nevertheless, knowledge of genitourinary pathology caused by HIV makes early diagnosis of AIDS possible"
"30","TWrex-cause","eczema herpeticum","33","50","virus","146","153","Kaposi's varicelliform eruption (eczema herpeticum) is the name given to a distinct cutaneous eruption caused by herpes simplex and certain other viruses that infect persons with preexisting dermatosis"
"31","TWrex-cause","malaria","178","185","plasmodium","12","22","Research on Plasmodium sporozoite biology aims at understanding the developmental program steering the formation of mature infectious sporozoites - the transmission stage of the malaria parasite"
"32","TWrex-cause","infection","149","158","mycobacterium","84","97","Mycobacterium malmoense was first described in 1977 and today is second only to the Mycobacterium avium complex as a cause of atypical mycobacterial infection in Sweden"
"33","TWrex-cause","tolerance","87","96","drug","82","86","The rational for FU chronomodulated therapy has been the circadian rhythm in host drug tolerance, which is greatest during the night time when the proliferation of normal target tissue is least"
"34","TWrex-cause","infection","60","69","plasmodium","83","93","We have shown that this traditional remedy prevents malaria infection by targeting Plasmodium at its early liver stage"
"35","TWrex-cause","distress","12","20","syndrome","63","71","Respiratory distress was mainly caused by respiratory distress syndrome or transient tachypnea of the newborn"
"36","TWrex-cause","infection","187","196","virus","30","37","The U3-LTR region of leukemia viruses transactivates cancer-related signaling pathways through the production of a non-coding RNA transcript although the role of this transcript in virus infection remains unknown"
"37","TWrex-cause","CSD","97","100","Bartonella","0","10","Bartonella (Rochalimaea) henselae has been identified as causative agent of cat-scratch disease (CSD"
"38","TWrex-cause","infection","16","26","cytomegalovirus","0","15","Cytomegalovirus infections occur one to three months after transplantation and are the major viral cause of morbidity and mortality"
"39","TWrex-cause","chlamydial infection","48","69","chlamydia","208","218","Despite the clinical and economic importance of chlamydial infections, many aspects of their basic biology, biochemistry and genetics have not been studied, and the metabolic relationships that exist between chlamydiae and their hosts are just beginning to be elucidated"
"40","TWrex-cause","infection","161","170","EBV","24","27","The Epstein-Barr virus (EBV) immediate-early protein BZLF1 is a transcriptional activator that mediates the switch between the latent and the lytic forms of EBV infection"
"41","TWrex-cause","drug induced rash","104","121","drug","68","72","We report different clinical and histological features of cutaneous drug reactions to distinguish a non drug-induced rash from a cutaneous adverse drug reaction"
"42","TWrex-cause","HIV","0","3","virus","66","71","HIV is a devastating disease caused by the human immunodeficiency virus"
"43","TWrex-cause","tuberculosis","85","97","m. tuberculosis","187","202","The contribution of horizontal gene transfer (HGT) to the evolution of Mycobacterium tuberculosis -- the main causal agent of tuberculosis in humans -- and closely related members of the M. tuberculosis complex remains poorly understood"
"44","TWrex-cause","transmissible spongiform encephalopathy","0","41","prion protein","107","120","Transmissible spongiform encephalopathies are fatal neurodegenerative diseases caused by the conversion of prion protein (PrP(C)) into an infectious isoform (PrP(Sc"
"45","TWrex-cause","bacteremia","130","140","bacterium","55","63","Enterobacteriaceae, nongroup A streptococci, anaerobic bacteria, and pseudomonads were disproportionately common in polymicrobial bacteremia"
"46","TWrex-cause","meningococcal disease","147","168","Neisseria meningitidis","101","123","The phenotype (serogroup, serotype and serosubtype) and antibiotic susceptibility of 388 isolates of Neisseria meningitidis from invasive cases of meningococcal disease were determined in 2000"
"47","TWrex-cause","infection","54","63","MRSA","89","93","Two patients were previously diagnosed as having MRSA infection and two were carriers of MRSA"
"48","TWrex-cause","infection","298","307","CMV","294","297","There was no evidence of an increased cellular infiltrate in the myocardium at the time of the active CMV infection, even though the donor heart is the likeliest source of infection, nor was there any change in myocyte, interstitial cell, or vascular endothelial cell nuclei to identify active CMV infection"
"49","TWrex-cause","myelopathy","71","81","HTLV-1","53","59","HTLV-1 uveitis: Similar to adult T cell leukemia and HTLV-1 associated myelopathy, uveitis in asymptomatic carriers of HTLV-1, prevalent in southern Kyushu, is a distinct clinical entity associated with HTLV-1, a human retrovirus"
"50","TWrex-cause","hepatitis c","4","15","hepatitis c virus","105","122","The Hepatitis C Strategy and Action Plan for England recommend that all individuals testing positive for hepatitis C virus (HCV) should be referred to a specialist centre for assessment and care"
"51","TWrex-cause","chagas disease","110","124","trypanosoma","20","31","The transmission of Trypanosoma cruzi through blood transfusion is the second most important way of acquiring Chagas disease"
"52","TWrex-cause","thrombocytopenia","148","164","immune thrombocytopenic purpura","65","96","Foetal thrombocytopenia can be caused by maternal complications (immune thrombocytopenic purpura, neonatal alloimmune thrombocytopenia, gestational thrombocytopenia, preeclampsia, alloimmune haemolytic disease) or infectious diseases (toxoplasmosis, cytomegalovirus, rubella) or be of true foetal origin (chromosomal abnormalities, malformations, congenital thrombocytopenia, intrauterine growth retardation"
"53","TWrex-cause","mrsa infection","54","68","MRSA","120","124","These findings suggest that the case fatality rate of MRSA infection may be high and also suggest that the elderly with MRSA infection who had hypoalbuminemia and/or received many antibiotics may have a poor prognosis"
"54","TWrex-cause","infection","117","126","mycoplasma","106","116","The purpose of this study is to evaluate the significance of IFN-gamma and IL-4 production in controlling mycoplasma infection and the pathogenesis of disease in the upper and lower respiratory tract"
"55","TWrex-cause","iron deficiency anemia","95","117","iron deficiency","190","205","Autoimmune atrophic gastritis is encountered in 20-27% of patients with obscure, or refractory iron deficiency anemia and is 4 to 6 times more common than celiac disease causing unexplained iron deficiency"
"56","TWrex-cause","neurocysticercosis","165","183","taenia","40","46","An antigenic protein in cystic fluid of Taenia solium metacestodes (CF) of 150 kDa was measured by antibody-sandwich ELISA in serum and cerebrospinal fluid (CSF) of neurocysticercosis patients"
"57","TWrex-cause","thrombosis","93","103","APCR","32","36","Activated protein C resistance (APCR) is a common cause of familial thrombophilia and venous thrombosis"
"58","TWrex-cause","infection","65","74","virus","59","64","Extrahepatic immune manifestations are rare in hepatitis A virus infection"
"59","TWrex-cause","hydatid disease","7","22","echinococcus","61","73","Cystic hydatid disease (CHD) is caused by infection with the Echinococcus granulosus metacestode and affects both humans and livestock"
"60","TWrex-cause","meningococcal disease","64","85","meningococcus","187","199","Some data are indicative of a possible decrease in the invasive meningococcal disease incidence in the Czech Republic; nevertheless, the active surveillance and detailed investigation of meningococci have to be continued"
"61","TWrex-cause","myelopathy","27","37","HTLV-I","9","15","Four had HTLV-I-associated myelopathy and one had infective eczema"
"62","TWrex-cause","htlv 1-associated myelopathy","105","133","HTLV-1","0","6","HTLV-1 causes two major diseases: adult T-cell leukemia/lymphoma (ATLL) and tropical spastic paraparesis/HTLV-1-associated myelopathy (TSP/HAM"
"63","TWrex-cause","mrsa infection","49","63","mrsa","89","93","Two patients were previously diagnosed as having MRSA infection and two were carriers of MRSA"
"64","TWrex-cause","varicella","72","81","VZV","96","99","FV100 is a promising new agent with extreme potency and specificity for varicella-zoster virus (VZV"
"65","TWrex-cause","delusion","76","85","metachromatic leukodystrophy","114","142","Psychiatric symptoms, including complex auditory hallucinations and bizarre delusions, are a prominent feature of metachromatic leukodystrophy presenting when the patient is between 12 and 30 years"
"66","TWrex-cause","infection","177","187","bacterium","44","52","The rapid emergence of antibiotic-resistant bacteria represents a particular problem because these pathogens cause not only otitis media but more serious and invasive bacterial infections such as pneumonia, bacteremia and meningitis"
"67","TWrex-cause","staphylococcal scalded skin syndrome","0","36","staphylococcus","164","178","Staphylococcal Scalded Skin Syndrome (SSSS) is a disease primarily of young children, characterized by exfoliative dermatitis caused by exfoliative toxin producing Staphylococcus aureus"
"68","TWrex-cause","infection","4","13","RSV","0","3","RSV infection increased human monocytic CCR1, 2 and 5 expression, as assessed by FACS, via replication-dependent mechanisms"
"69","TWrex-cause","schistosomiasis","50","65","Schistosoma","139","150","In this chapter, we start with a classic model of schistosomiasis transmission and relate its key properties to the more detailed model of Schistosoma japonicum model presented in chapter by Remais and chapter by Spear and Hubbard"
"70","TWrex-cause","infection","73","82","VZV","38","41","When the HEF cells were infected with VZV at different multiplicities of infection (MOI), the ID50 of BVDU increased in parallel with the increase of MOI"
"71","TWrex-cause","aid","119","123","hiv positive","22","34","When comparing the 49 HIV-positive lymphoma cases with their 49 matched AIDS controls, all of whom were diagnosed with AIDS during the same time period, the matched relative odds of lymphoma associated with prior use of zidovudine was 0.43 (95% confidence interval [CI] = 0.17 to 1.12"
"72","TWrex-cause","cytomegalovirus","98","113","hcmv","115","119","Cell-mediated immunity is important in maintaining the virus-host equilibrium in persistent human cytomegalovirus (HCMV) infection"
"73","TWrex-cause","west nile fever","76","91","WNV","39","42","This epidemic resulted in 329 cases of WNV infection including 125 cases of West Nile fever and 204 cases complicated by meningitis and encephalitis"
"74","TWrex-cause","AIDS","169","173","HIV","82","85","In Japan, 1531 out of 4171 hemophiliacs (36.7%) are human immunodeficiency virus (HIV)-infected, and up to 31 December 1991, 324 (21.2%) of these patients had developed AIDS"
"75","TWrex-cause","AIDS","76","80","human immunodeficiency virus","89","117","To test whether these methods effectively inactivated and/or eliminated the AIDS causing human immunodeficiency virus (HIV), nine volumes or more of plasma or a plasma fraction taken from a production lot were spiked with HIV using one volume of a HIV concentrate and were then subjected to exactly the same procedure as that specified for the manufacturing process"
"76","TWrex-cause","acquired immune deficiency","303","329","human immunodeficiency virus","55","83","In response to the overwhelming burden of new cases of human immunodeficiency virus (HIV) in Africa, Asia, Latin America, and the Caribbean, the Joint United Nations Programme on HIV/AIDS (UNAIDS), in 1997, initiated a project to examine the application of existing communication theories/models to HIV/acquired immune deficiency virus (AIDS) prevention and care in these regions"
"77","TWrex-cause","motion sickness","278","293","motion","141","147","Although there is general agreement that a high degree of variability exists between subjects in their autonomic nervous system responses to motion sickness stimulation, very little evidence exists that examines the reproducibility of autonomic responses within subjects during motion sickness stimulation"
"78","TWrex-cause","chikungunya","0","11","virus","12","17","Chikungunya virus (CHIKV) was purified and subjected to sodium dodecyl sulfate-polyacrylamide gel electrophoresis in discontinuous buffer systems"
"79","TWrex-cause","borreliosis","40","51","borrelia","0","8","Borrelia burgdorferi, the agent of Lyme borreliosis, is genetically more heterogeneous than previously thought"
"80","TWrex-cause","leprosy","235","242","m. leprae","160","169","Recent studies of the &quot;naturally occurring leprosy-like disease of wild armadillos&quot; establish that the causative bacillus is genetically identical to M. leprae from human sources, and thus the disease is a zoonosis, sylvatic leprosy"
"81","TWrex-cause","infection","110","120","chlamydia","100","109","Three failure were reported: one in an infection secondary to a non identified bacteria, and two in Chlamydia infections where, despite the clinical cure, a positive culture persisted in the abdomen"
"82","TWrex-cause","varicella","67","76","virus","84","89","We studied mononuclear cell (MNC)-mediated natural killing (NK) of varicella-zoster virus (VZV)-infected fibroblasts in normal children, children with VZV infections, and children with Hodgkin's disease"
"83","TWrex-cause","infection","61","70","RSV","57","60","Herein, the role of PKC-alpha during the early stages of RSV infection in normal human bronchial epithelial cells is determined"
"84","TWrex-cause","disseminated candidiasis","151","175","candida","183","190","In this present study, we investigated the immunomodulatory effects of liquiritigenin (LG) and liquiritin (LQ), licorice flavonoid components, against disseminated candidiasis due to Candida albicans, a dimorphic fungus, that causes severe disease via hematogenous dissemination and local diseases such as vaginitis and thrush"
"85","TWrex-cause","whooping cough","48","62","bordetella pertussis","0","20","Bordetella pertussis, the aetiological agent of whooping cough, coordinately regulates the expression of many virulence-associated determinants, including filamentous haemagglutinin, pertussis toxin, adenylyl cyclase toxin, dermonecrotic toxin and haemolysin"
"86","TWrex-cause","Myrmecia","0","8","papillomavirus","28","42","Myrmecia is caused by human papillomavirus type 1 (HPV-1) and its intracytoplasmic substances are characterized by numerous intracytoplasmic eosinophilic granules"
"87","TWrex-cause","AIDS","62","66","virus","161","168","Because macaques infected with SIV are the best model for HIV/AIDS pathogenesis, we can now directly study the correlates of protective immune responses to AIDS viruses"
"88","TWrex-cause","infection","24","34","cytomegalovirus","8","23","Primary cytomegalovirus infections were more common in diabetic patients"
"89","TWrex-cause","ca mrsa","62","69","MRSA","160","164","This study demonstrates that pvl is not a reliable marker for CA-MRSA in Ireland and reveals the emergence and importation of diverse genotypes of pvl-positive MRSA in Ireland"
"90","TWrex-cause","salmonella","25","35","species","36","43","Concomitant isolation of Salmonella species or Shigella species was achieved in eight of the Campylobacter-infected patients"
"91","TWrex-cause","ehrlichiosis","87","99","ehrlichia","187","196","Among 213 whole-blood samples collected from patients who were clinically suspected of ehrlichiosis from 1 May to 1 August 2008 at Vanderbilt University Hospital, 40 were positive for an Ehrlichia species by PCR/ESI-MS, giving a positive rate of 18.8%"
"92","TWrex-cause","drug toxicity","125","138","drug","176","180","Antimalarial drug treatment in different clinical situations should be assessed in terms of the balance between the risks of drug toxicity and the benefits of the antimalarial drug action"
"93","TWrex-cause","infection","157","166","virus","151","156","Positive immunohistochemical reaction for VP-1 (virus protein) indicated that the demyelination was associated with Theiler's murine encephalomyelitis virus infection"
"94","TWrex-cause","reaction","48","57","drug","147","152","Spontaneous reporting of suspected adverse drug reactions to a pharmacovigilance structure is a reasonable tool to detect new associations between drugs and a given toxic effect"
"95","TWrex-cause","tuberculosis","69","81","bacillus calmette guerin","0","24","Bacillus Calmette Guerin (BCG) vaccination used in the prevention of tuberculosis may cause problems in interpreting the tuberculin skin test (TST), which is commonly used in the diagnosis of infection"
"96","TWrex-cause","endocarditis","104","116","Coxiella burneti","46","62","Antibodies to phase 2 and phase 1 antigens of Coxiella burneti were detected and a diagnosis of Q fever endocarditis was made"
"97","TWrex-cause","tuberculosis","84","96","mycobacterium tuberculosis","0","26","Mycobacterium tuberculosis was isolated in four of six patients suspected of having tuberculosis"
"98","TWrex-cause","vision","127","133","sca3","99","103","Pyramidal tract signs, pale discs, and dysphagia were more frequent in SCA1 compared with SCA2 and SCA3 patients, while double vision occurred less frequently"
"99","TWrex-cause","infection","100","109","RSV","96","99","Thus, this mAb has two independent actions that could facilitate treatment and/or prevention of RSV infection by reducing both virus replication and virus-induced pulmonary inflammation"
"100","TWrex-cause","hypotension","127","138","captopril","8","17","Because captopril administration causes hypotension in fluid-depleted animals, the results of the two experiments suggest that hypotension in fluid-replete animals preferentially increases water intake in response to intracerebroventricular ANG II and in fluid-depleted animals increases both salt and water intake in response to intracerebroventricular ANG II"
"101","TWrex-cause","disease","169","177","bacterium","202","210","In addition to phage particles per se, purified phage-encoded peptidoglycan hydrolase (lysin) is also reported to be effective for the treatment of bacterial infectious diseases caused by gram-positive bacteria such as Streptococcus pyogenes, S. pneumoniae, Bacillus anthracis, and group B streptococci"
"102","TWrex-cause","aspergillosis","26","39","hypersensitivity","75","91","Allergic bronchopulmonary aspergillosis (ABPA) develops as the result of a hypersensitivity reaction to fungi of the genus Aspergillus"
"103","TWrex-cause","pertussis","79","88","b. pertussis","156","168","The aim of this study was to determine and evaluate IgG, IgM and IgA levels to pertussis toxin (PT), filamentous hemagglutinin (FHA) and endotoxin (LPS) of B. pertussis in children with clinical symptoms of whooping cough"
"104","TWrex-cause","infection","193","202","HIV","189","192","The relevance of Alcaligenes xylosoxidans and related species of gram-negative non-glucose fermenting bacilli as opportunistic pathogens in the immunocompromised host and in the setting of HIV infection is briefly reviewed"
"105","TWrex-cause","infection","40","49","HIV","112","115","Active vaccination of patients with HIV infection (vaccine therapy) safely alters the immune repertoire against HIV"
"106","TWrex-cause","nephropathy","223","234","analgesic","180","190","The report indicates the need for careful enquiry about analgesic consumption in all patients with renal disease, and emphasizes the importance of early diagnosis and cessation of analgesics in suspected cases of analgesic nephropathy"
"107","TWrex-cause","urticaria","47","56","cold","34","38","Patients with idiopathic acquired cold-induced urticaria were evaluated for the release of the preformed mast-cell mediators of immediate-type hypersensitivity during a study in which one arm was immersed in ice water while the other arm remained as a control"
"108","TWrex-cause","dysentery","97","106","treponema hyodysenteriae","51","75","The protein composition of 18 clinical isolates of Treponema hyodysenteriae from pigs with swine dysentery in Australia were compared by sodium dodecyl sulfate polyacrylamide gel electrophoresis (SDS-PAGE) and immunoblot analysis"
"109","TWrex-cause","infection","53","63","herpes zoster","29","42","Immune globulins can prevent Herpes zoster-Varicella infections and acyclovir is effective in preventing Herpes simplex virus infections"
"110","TWrex-cause","HIV","80","83","virus","73","78","Understanding the distribution of microbicide and human immunodeficiency virus (HIV) within the gastrointestinal tract is critical to development of rectal HIV microbicides"
"111","TWrex-cause","toxicity","143","151","cadmium","135","142","It is concluded that the young might be at a special risk at the same level of environmental cadmium exposure because of the high oral cadmium toxicity at this age which is most probably due to a high cadmium retention in the gut"
"112","TWrex-cause","malaria","291","298","falciparum","280","290","These preliminary results indicate that lactic acidosis is a late complication of severe malaria and, by implication from this and other studies, hypoglycaemia occurs even later; other metabolic changes during P. coatneyi infection in rhesus monkeys also parallel those of severe falciparum malaria in humans"
"113","TWrex-cause","poliomyelitis","27","40","poliovirus","149","159","Despite the success of the poliomyelitis eradication initiative, it has become critical that surveillance be intensified so that the absence of wild poliovirus circulation can be verified with confidence in countries not reporting confirmed cases of poliomyelitis"
"114","TWrex-cause","reaction","110","119","drug","54","58","Diclofenac (DCLF) is a nonsteroidal anti-inflammatory drug that is associated with idiosyncratic adverse drug reactions in humans"
"115","TWrex-cause","infection","171","180","virus","165","170","Exposure of rodents to immunosuppressive agents such as ozone, dioxin, or ultraviolet radiation (UVR) leads to increased morbidity and mortality following influenza virus infection"
"116","TWrex-cause","infection","106","115","CMV","117","120","The asymptomatic group were bone marrow transplant (BMT) recipients, all seropositive for cytomegalovirus infection (CMV"
"117","TWrex-cause","disease","102","109","cowdria ruminantium","51","70","Two tick-borne rickettsial pathogens of ruminants, Cowdria ruminantium (causative agent of heartwater disease) and Ehrlichia phagocytophila (causative agent of tick-borne fever), were successfully cultivated in caprine or ovine neutrophilic granulocytes"
"118","TWrex-cause","infection","18","27","virus","12","17","Hepatitis C virus infection is a common cause of chronic liver disease and hepatocellular carcinoma"
"119","TWrex-cause","rabies","98","104","virus","105","110","This work was carried out with the aim to identify antigenic and genomic differences in Brazilian rabies virus isolates and to verify whether such alterations would bear any relationship with the different hosts for the virus in nature"
"120","TWrex-cause","smallpox","52","60","variola virus","112","127","In 1901, two medical journals reported outbreaks of smallpox presumably introduced by letters contaminated with variola viruses"
"121","TWrex-cause","pregnancy","211","220","nicotine","63","71","This hypothesis was tested in monkeys to determine if maternal nicotine exposure would produce changes in lung mechanics in newborn monkeys similar to those observed in human infants whose mothers smoked during pregnancy"
"122","TWrex-cause","tolerance","41","50","drug","17","22","Immunomodulatory drugs can abrogate oral tolerance"
"123","TWrex-cause","sickness","53","61","motion","46","52","The amphibian species that exhibited the most motion sickness were the same ones that showed the greatest amount of tumbling during the microgravity phases of their parabolic flights"
"124","TWrex-cause","syphilis","171","179","pallidum","45","53","To study the different patterns of Treponema pallidum distribution in primary and secondary syphilis, 34 biopsy specimens of 8 patients with primary and 26 with secondary syphilis were assessed"
"125","TWrex-cause","chagas disease","205","220","trypanosoma cruzi","163","180","We present the results of the first detailed study of the molecular and cellular basis of the antiproliferative effects of the bisphosphonate risedronate (Ris) on Trypanosoma cruzi, the causative agent of Chagas' disease"
"126","TWrex-cause","HBV","209","212","hepatitis b virus","103","120","Exclusion of liver grafts from hepatitis B core antibody (anti-HBc) positive donors to prevent de novo hepatitis B virus (HBV) infection after liver transplantation is not feasible in areas highly endemic for HBV virus like Taiwan, where approximately 80% of adults are anti-HBc(+"
"127","TWrex-cause","cytomegalovirus","6","21","hcmv","23","27","Human cytomegalovirus (HCMV) masterfully evades adaptive and innate immune responses, allowing infection to be maintained and periodically reactivated for the life of the host"
"128","TWrex-cause","HIV","115","118","virus","39","44","Surveillance of human immunodeficiency virus (HIV) infection among women is essential for monitoring the spread of HIV over time and identifying specific populations and geographic areas in need of HIV counseling, testing, and prevention services"
"129","TWrex-cause","toxic oil syndrome","130","148","aniline","0","7","Aniline-denaturated rape-seed food oils that contained anilides of linoleic and oleic acids caused a poisoning epidemic, known as Toxic Oil Syndrome, in Spain in 1981"
"130","TWrex-cause","amebiasis","78","87","E. histolytica","98","112","A total of 258 sample sera were analyzed from five different groups including amebiasis patients, E. histolytica/E"
"131","TWrex-cause","sars cov infection","181","199","sars cov","51","59","The severe acute respiratory syndrome coronavirus (SARS-CoV) nucleocapsid protein (NP) is one of the predominant antigenic protein and the most abundant shed antigen throughout the SARS-CoV infection"
"132","TWrex-cause","lyme disease","158","170","borrelia burgdorferi","100","120","The development of new genetic systems for studying the complex regulatory events that occur within Borrelia burgdorferi is an important goal of contemporary Lyme disease research"
"133","TWrex-cause","ala","209","212","E. histolytica","104","118","Upon entry into the study, 6.3% of ALA subjects were infected with E. histolytica; the incidence of new E. histolytica infections in controls (as determined by culture) was too low (1.4%) to determine whether ALA subjects exhibited immunity to new infections"
"134","TWrex-cause","infection","67","77","virus","61","66","This article reviews current knowledge of Menangle and Nipah virus infections in pigs, the only major species of domestic animals to experience serious disease after infection with these viruses"
"135","TWrex-cause","shigellosis","40","51","shigella","120","128","Our findings show that the high risk of shigellosis in residentially exposed Bangladeshi children results from multiple Shigella strains circulating concurrently within the same neighborhood; demonstrate that the risk is notably modified by host age, nutritional status, and dietary patterns; and illustrate that the classic picture of dysentery is relatively infrequent and is correlated with the infecting species and with host nutritional status"
"136","TWrex-cause","infection","23","32","mycobacterium","0","13","Mycobacterium ulcerans infection is an important and potentially disfiguring disease of man"
"137","TWrex-cause","plague","186","192","yersinia pestis","161","176","Inguinal lymphadenitis is associated with a well-defined group of etiologic agents including many sexually transmitted diseases and nonvenereal agents including Yersinia pestis (bubonic plague"
"138","TWrex-cause","toxoplasmosis","103","116","T. gondii","34","43","The mechanisms of presentation of T. gondii antigen have been clarified recently, and animal models of toxoplasmosis that mimic disease observed in AIDS patients developed"
"139","TWrex-cause","legionnaire disease","190","211","legionella","23","33","The standard selective Legionella medium that contains cefamandole failed to grow legionella pneumophila serogroup 1, subtype Bellingham, from a sputum sample from a patient with nosocomial Legionnaires' disease; the isolate did grow on a similar selective medium that substitutes vancomycin for cefamandole"
"140","TWrex-cause","borrelia","0","8","burgdorferi","9","20","Borrelia burgdorferi, the agent of Lyme disease, can induce joint inflammation"
"141","TWrex-cause","influenza","60","69","influenza virus","99","114","These data, combined with previously reported data on other influenza viruses, indicates that each influenza virus strain has a characteristic unfolding behaviour"
"142","TWrex-cause","atrophy","94","101","syndrome","207","215","Seven patients with a rare syndrome of diabetes insipidus (DI), diabetes mellitus (DM), optic atrophy (OA), neurosensory deafness (D), atony of the urinary tract, and other abnormalities (Wolfram or DIDMOAD syndrome) are reported"
"143","TWrex-cause","rubella","23","30","virus","157","162","During the outbreak of rubella in Turin in 1973, 110 newborns, whose mother's pregnancy clash with the epidemic, were studied for the elimination of rubella virus"
"144","TWrex-cause","anthrax","0","7","bacillus anthracis","62","80","Anthrax is an acute zoonotic disease caused by infection with Bacillus anthracis"
