"index","relation-type","term1","b1","e1","term2","b2","e2","sentence"
"466","TWrex-diagnose","TB","98","100","PPD","185","188","Our findings suggest that the underlying mechanisms of cytokine regulation might differ between N-TB and R-TB patients, and that decreased IL-12 production in response to the 30-kDa or PPD Ag might be involved in the immunopathogenesis of human R-TB"
"467","TWrex-diagnose","TB","415","417","tuberculin","120","130","To identify individual diagnostic criteria, the study group was divided into 4 subgroups: 1) 119 patients with positive tuberculin tests (> or = 10 mm induration) and a known contact with a TB patient; 2) 100 patients with positive tuberculin tests (> or = 10 mm induration) without known contact with a TB patient; 3) 33 patients with negative tuberculin tests (> or = 10 mm induration) and a known contact with a TB patient; 4) 32 patients with negative tuberculin tests (> or = 10 mm induration"
"468","TWrex-diagnose","TB","190","192","tuberculin","456","466","To identify individual diagnostic criteria, the study group was divided into 4 subgroups: 1) 119 patients with positive tuberculin tests (> or = 10 mm induration) and a known contact with a TB patient; 2) 100 patients with positive tuberculin tests (> or = 10 mm induration) without known contact with a TB patient; 3) 33 patients with negative tuberculin tests (> or = 10 mm induration) and a known contact with a TB patient; 4) 32 patients with negative tuberculin tests (> or = 10 mm induration"
"469","TWrex-diagnose","MHS","110","113","halothane","52","61","The potentiation effect on Ca-induced Ca release by halothane and caffeine did not differ appreciably between MHS and normal fibers"
"470","TWrex-diagnose","Mg","17","19","chloride","117","125","The diagnosis of MG was based on clinical features and one or more of the following factors: response to edrophonium chloride, electrophysiologic studies and demonstration of circulating AChRAB"
"471","TWrex-diagnose","disorder","227","235","dexamethasone","16","29","Response to the dexamethasone suppression test (DST) was tested in 20 patients fulfilling the Research Diagnostic Criteria (RDC) for schizoaffective disorder, depressed type, and in 52 patients meeting RDC for major depressive disorder"
"472","TWrex-diagnose","TB","98","100","PPD","131","134","TB suspects underwent standardised evaluation for the presence of signs and/or symptoms of active TB, including chest radiography, PPD skin test, sputum microscopy examination for acid-fast bacilli and mycobacterial culture"
"473","TWrex-diagnose","tuberculosis","96","108","TB","230","232","A retrospective study was carried out at Lilongwe Central Hospital, Malawi, to determine 1) the tuberculosis case notification rate in health care workers (HCW) in 2001, and 2) whether NTP guidelines were adhered to in diagnosing TB"
"474","TWrex-diagnose","hyperreactivity","160","175","methacholine","205","217","The specific bronchial provocation test was found to be more related to the allergic status, as reflected by specific IgE levels, than to nonspecific bronchial hyperreactivity, as reflected by response to methacholine"
"475","TWrex-diagnose","tuberculosis","49","61","TB","157","159","Using clinically diagnosed and notified cases of tuberculosis as well as subjects in whom the condition had been excluded as controls, it was found that the TB ELISA showed very low degrees of specificity and sensitivity and consequently was not suitable as a diagnostic tool in identifying children aged 5 years or less with tuberculosis"
"476","TWrex-diagnose","tuberculosis","308","320","tuberculin","79","89","Despite the low number of patients investigated, our findings suggest that the tuberculin skin test and its in vitro correlates (T cell mitogenesis and IL-2 production) could provide simple and reliable diagnostic tools for identifying atypical forms of KD, or vice versa, in subjects not vaccinated against tuberculosis"
"477","TWrex-diagnose","depression","174","184","dexamethasone","105","118","This study was conducted to assess the predictive value of different variables including the response to dexamethasone suppression test (DST), in 105 patients with resistant depression after the addition of lithium (600 to 800 mg/day) for 4 weeks to antidepressant medication"
"478","TWrex-diagnose","cushing's syndrome","151","169","dexamethasone","40","53","Serum cortisol levels, the results of a dexamethasone suppression test and an adrenal scintigram with 131I-19-iodocholesterol were all compatible with Cushing's syndrome due to an adrenal adenoma that secretes cortisol autonomously"
"479","TWrex-diagnose","infection","13","22","tuberculin","44","54","Tuberculosis infection, as estimated by the tuberculin test, T-SPOT.TB test, and expert physician panel, was detected in 12.8%, 35.5, and 26.1 of patients respectively"
"480","TWrex-diagnose","cushing's syndrome","16","34","dexamethasone","160","173","The etiology of Cushing's syndrome is best determined by combining measurements of basal state plasma adrenocorticotropin (ACTH) levels with the 8-mg high-dose dexamethasone suppression test"
"481","TWrex-diagnose","Cushing","16","25","dexamethasone","160","173","The etiology of Cushing's syndrome is best determined by combining measurements of basal state plasma adrenocorticotropin (ACTH) levels with the 8-mg high-dose dexamethasone suppression test"
"482","TWrex-diagnose","TB","0","2","PPD","131","134","TB suspects underwent standardised evaluation for the presence of signs and/or symptoms of active TB, including chest radiography, PPD skin test, sputum microscopy examination for acid-fast bacilli and mycobacterial culture"
"483","TWrex-diagnose","TB","95","97","PPD","201","204","We have reported selective up-regulation of IgG1 (which bind to Fcgamma receptors) in advanced TB and have recently shown the ability of PPD-specific IgG1 antibodies to augment TNF-alpha expression in PPD-stimulated monocytes"
"484","TWrex-diagnose","Tbc","111","114","tuberculin","4","14","The tuberculin test was positive in 22 (71%) patients with definite Tbc and in 29 (60%) patients with probable Tbc"
"485","TWrex-diagnose","hyperreactivity","27","42","metacholine","176","187","We conclude that bronchial hyperreactivity as evaluated by the methacholine challenge test is not closely related to isocyanate-induced bronchoconstriction and, therefore, the metacholine challenge is only of limited diagnostic value in patients with suspected isocyanate-induced asthma"
"486","TWrex-diagnose","dwarfism","70","78","ghrh","95","99","These findings suggest that one of the causes of idiopathic pituitary dwarfism is insufficient GHRH release from the hypothalamus"
"487","TWrex-diagnose","tuberculosis","113","125","PPD","208","211","We attempted to overcome the depressed in vitro response observed in PBL from patients with advanced, refractory tuberculosis and found that the addition of exogenous, recombinant IL-2 returned the depressed PPD-induced PBL proliferation in these patients to the level of response observed in PBL from patients with newly diagnosed tuberculosis"
"488","TWrex-diagnose","CD","14","16","DMS","47","50","These diamino-CD-monomers are polymerized with DMS to yield amidine-based polycations"
"489","TWrex-diagnose","Cushing","92","101","dexamethasone","234","247","A high index of suspicion of the syndrome is required in patients with symptoms or signs of Cushing's syndrome but with normal cortisol values, in patients with fluctuating cortisol values, and in patients with anomalous responses to dexamethasone"
"490","TWrex-diagnose","tuberculosis","52","64","TB","225","227","We identify early predictors of multidrug-resistant tuberculosis and describe improved clinical outcomes, including survival, for patients with human immunodeficiency virus (HIV)-related multidrug-resistant tuberculosis (MDR-TB) when they are prospectively identified and receive treatment under direct observation"
"491","TWrex-diagnose","tuberculosis","44","56","TB","168","170","The diagnosis of bacteriologically negative tuberculosis (TB) in children is traditionally based on clinical criteria, such as a history of contact with a patient with TB, a positive tuberculin test suggesting TB infection and radiological TB changes"
"492","TWrex-diagnose","variant angina","177","191","ergonovine","282","292","We compared the basal coronary artery tone and the constrictive responses to acetylcholine (Ach) and ergonovine (Erg) among three groups of patients: 31 patients (group 1) with variant angina in whom spasm was provoked by low doses of acetylcholine (intracoronary 20 micrograms) or ergonovine (intravenous 50 micrograms); 35 patients (group 2) in whom spasm was provoked by higher doses of acetylcholine (intracoronary 100 micrograms) or ergonovine (intravenous cumulative dose of 350 micrograms); and 26 control subjects"
"493","TWrex-diagnose","tuberculosis","167","179","TB","208","210","Measurements of different cytokines and chemokines in supernatants of PMBC cultures in the presence of PPD showed increased levels of interferon (IFN)-gamma in active tuberculosis infection (ATBI) and latent TB infected (LTBI) compared to controls, and increased levels of TNF-alpha in ATBI compared with LTBI"
"494","TWrex-diagnose","depression","85","95","dexamethasone","4","17","The dexamethasone suppression test (DST) has performed well as a diagnostic test for depression in many specialized research settings"
"495","TWrex-diagnose","tuberculosis","62","74","TB","76","78","Persons with AIDS (PWAs) are 100 times more likely to develop tuberculosis (TB) than the general population"
"496","TWrex-diagnose","depression","499","509","dexamethasone","471","484","Major findings were: (1) the DST gradually normalized 3-4 weeks prior to full resolution of clinical symptomatology; (2) weight loss was an important patient variable which may have contributed to false positive DST results; however, the positive correlation between changes in DST results and changes in depression scores in all our patients with or without weight loss suggests that psychopathological factors other than weight change participate in the development of dexamethasone resistance in depression; (3) the low dose (1 mg) version of the test requires careful control of minor medical disturbances"
"497","TWrex-diagnose","disease","130","137","ICG","78","81","So that, the application of Bayesian analysis to the one point measurement of ICG test was useful to clinical evaluation of liver disease"
"498","TWrex-diagnose","tuberculosis","26","38","TB","84","86","We examined a group of M. tuberculosis isolates from newly registered tuberculosis (TB) cases, collected at the largest university hospital, the Siriraj Hospital, in Thailand"
"499","TWrex-diagnose","tuberculosis","54","66","TB","68","70","Cachexia is one of the prominent features of advanced tuberculosis (TB) seen in association with increased expression of the monokine TNF-alpha"
"500","TWrex-diagnose","diabetes","203","211","plasma glucose","115","129","Detection of glucose intolerance in PCOS is best performed via 2-h oral glucose tolerance test rather than fasting plasma glucose alone, since it enables diagnosis of both impaired glucose tolerance and diabetes"
"501","TWrex-diagnose","tuberculosis","74","86","PPD","281","284","We believe that the molecular signature distinguishing active from latent tuberculosis infection may require using cytokine bead arrays along with RNA microarrays testing cell cultures at different times following in vitro proliferation assays using several bacterial antigens and PPD"
"502","TWrex-diagnose","infection","198","207","tuberculin","132","142","It has led in 2004 to the discontinuation of all revaccinations and post-vaccination tuberculin tests except those post-vaccination tuberculin tests performed as part of a diagnosis of tuberculosis infection or disease or of the follow-up of health or social workers for whom BCG vaccination remains mandatory"
"503","TWrex-diagnose","disorder","57","65","dexamethasone","137","150","In a sample of 96 patients with DSM-III major depressive disorder and in a subset of 78 melancholic patients, there was no evidence that dexamethasone nonsuppression was more common in patients with reported weight loss"
"504","TWrex-diagnose","Cushing","28","37","dexamethasone","211","224","The definitive diagnosis of Cushing's syndrome is best established by combining basal state measurements of the daily urine-free cortisol excretion and late evening plasma cortisol levels with the 2-mg low-dose dexamethasone suppression test"
"505","TWrex-diagnose","tuberculosis","55","67","tuberculin","134","144","Of the seven patients with a final diagnosis of active tuberculosis, all were positive by ELISpot including three with false-negative tuberculin skin test results"
"506","TWrex-diagnose","TB","94","96","PPD","168","171","Moreover, according to Mycobacterium bovis BCG vaccination status, only 59% of the vaccinated TB patients responded to ESAT in vitro, whereas 100% of them responded to PPD"
"507","TWrex-diagnose","tuberculosis","151","163","PPD","238","241","A second survey was conducted on 259 persons (109 recently revaccinated healthy persons, considered as tuberculin-negative in the first trial, and 150 tuberculosis patients), using a higher dose of A60 (2 micrograms) and the same dose of PPD (5 I.U"
"508","TWrex-diagnose","hyperreactivity","147","162","methacholine","46","58","The experimental design included pre-exposure methacholine challenge to determine if responses to HCHO were associated with pre-existing bronchial hyperreactivity"
"509","TWrex-diagnose","infection","109","118","test","73","77","Our aim was to evaluate the QuantiFERON-TB Gold In-Tube (QFT-G IT) blood test for Mycobacterium tuberculosis infection in children and to compare results with those of the TST"
"510","TWrex-diagnose","bronchial hyperresponsiveness","45","74","methacholine","142","154","We report two asthmatic patients with normal bronchial hyperresponsiveness and one asthmatic patient with mild bronchial hyperresponsiveness (methacholine PC20; 24 mg/ml) which was presumed to be caused by sensitization and exposure to Black GR, the most frequent sensitizer among reactive dyes"
"511","TWrex-diagnose","tuberculosis","0","12","TB","14","16","Tuberculosis (TB) results from infection with Mycobacterium tuberculosis and remains endemic throughout the world with one-third of the world's population infected"
"512","TWrex-diagnose","hyperresponsiveness","55","74","methacholine","142","154","We report two asthmatic patients with normal bronchial hyperresponsiveness and one asthmatic patient with mild bronchial hyperresponsiveness (methacholine PC20; 24 mg/ml) which was presumed to be caused by sensitization and exposure to Black GR, the most frequent sensitizer among reactive dyes"
"513","TWrex-diagnose","tuberculosis","103","115","PPD","125","128","This article will help advanced practice nurses understand the relationship between the immune system, tuberculosis, and the PPD skin test; the problem of anergy with immunocompromised patients, particularly those who are HIV-infected; issues involved in placement and interpretation of the results of the PPD test; new Agency for Health Care Policy and Research (AHCPR) standards for PPD interpretation with HIV-infected persons; the &quot;booster&quot; effect and two-step PPD testing; concerns regarding bacille Calmette-Guérin vaccine; and the use of a critical pathway to aid in"
"514","TWrex-diagnose","tuberculosis","271","283","TB","180","182","Other procedures addressed reduction of transmission of Mycobacteria tuberculosis to HIV positive persons and to the general population, of the incidence of reactivation of latent TB in HIV-positive persons, and of primary active TB in HIV-positive persons exposed to M. tuberculosis"
"515","TWrex-diagnose","syndrome","58","66","halothane","199","208","These results suggest that (i) the malignant hyperthermia syndrome is not directly related to the polar heads of phospholipids and (ii) dantrolene counteracts unspecifically the disturbing effect of halothane at the lipid level"
"516","TWrex-diagnose","tuberculosis","0","12","PPD","78","81","Tuberculosis, our preoperative diagnosis, evidenced by her sterile pyuria and PPD conversion was confirmed by the surgical specimen and treatment was begun"
"517","TWrex-diagnose","tuberculosis","91","103","tuberculin","18","28","A higher ratio of tuberculin test positivity among the students of the teacher with active tuberculosis versus students vaccinated with BCG one year previously according to the routine vaccination program was determined"
"518","TWrex-diagnose","diabetes","48","56","glucose","186","193","Cases with obesity, polycystic ovarian disease, diabetes mellitus, infertility and hypoglycemia showed higher (p = 0.01-0.05) IRI changes, inversely correlated with a decreasing fasting glucose observed in diabetics under treatment with various degrees of control"
"519","TWrex-diagnose","depression","141","151","dexamethasone","31","44","From a theoretical aspect, the dexamethasone test enables us to delineate the nosology of the depressive disorder and to detect in childhood depression the same neuro-endocrinological features as noticed in adulthood depression"
"520","TWrex-diagnose","tuberculosis","165","177","TB","179","181","The aim of the present study was to assess the cost-effectiveness of the new T-SPOT.TB assay versus the tuberculin skin test (TST) for screening contacts for latent tuberculosis (TB) infection in Switzerland"
"521","TWrex-diagnose","impotency","83","92","papaverine","17","27","The Rigiscan and papaverine are useful in the diagnosis and management of erectile impotency"
"522","TWrex-diagnose","tuberculosis","219","231","PPD+","51","55","Stimulation profiles for tuberculosis patients and PPD+ contacts were extremely heterogeneous, formally demonstrating that an enormous number of different antigens serve as targets of the cellular immune response to M. tuberculosis"
"523","TWrex-diagnose","tuberculosis","266","278","tuberculin ppd","113","127","Tuberculin diagnosis confirms the primary diagnosis only in case of hyperergic response to the Mantoux test with tuberculin PPD 2 TU. Tracheobronchoscopic detection of nonspecific endobronchitis is not a reliable enough diagnostic criterion to differentiate between tuberculosis and pneumonia"
"524","TWrex-diagnose","tuberculosis","32","44","TB","46","48","A 1992 PAHO meeting of AIDS and tuberculosis (TB) specialists resulted in guidelines for health professionals on diagnosis, treatment, and follow up of TB associated with HIV infection or AIDS"
"525","TWrex-diagnose","bronchial hyperresponsiveness","224","253","methacholine","378","390","Patients with a dual reaction had a longer period of exposure to red cedar dust between the onset of the respiratory symptoms and the time of the definitive diagnosis, a lower FEF 25-75% and a greater degree of non-specific bronchial hyperresponsiveness compared to patients with isolated immediate or isolated late reactions; the difference in bronchial hyperresponsiveness to methacholine among the three groups persisted when the values were adjusted for the different baseline value of FEV1"
"526","TWrex-diagnose","tuberculosis","145","157","tuberculin","172","182","Among the variables analyzed, the radiological status had the greater impact into the diagnosis (OR = 25.39), followed by exposure to adult with tuberculosis (OR = 10.67), tuberculin skin test >10mm (OR = 8.23"
"527","TWrex-diagnose","lung","92","96","xenon 133","178","187","In this study the cross-sectional functional differences between the central and peripheral lung in smokers with pulmonary emphysema were evaluated by lung perfusion and dynamic xenon-133 single-photon emission tomography (SPET"
"528","TWrex-diagnose","tuberculosis","55","67","PPD","212","215","A 16-year-old Caucasian girl who showed no evidence of tuberculosis or other systemic disease developed acute panuveitis progressing to bilateral serous retinal detachments following purified protein derivative (PPD) skin testing on two separate occasions separated by an interval of 8 years"
"529","TWrex-diagnose","tuberculosis","25","37","PPD+","51","55","Stimulation profiles for tuberculosis patients and PPD+ contacts were extremely heterogeneous, formally demonstrating that an enormous number of different antigens serve as targets of the cellular immune response to M. tuberculosis"
"530","TWrex-diagnose","Tbc","97","100","tuberculin","136","146","No significant difference has been observed between patients with definite or probable pulmonary Tbc according to the average age, sex, tuberculin test positivity and history of Tbc contact"
"531","TWrex-diagnose","tuberculosis","48","60","TB","62","64","The model is further developed to address human tuberculosis (TB) and the impact of vaccination"
"532","TWrex-diagnose","TB","125","127","tuberculin","175","185","All Irish dairy herds restricted from trading between the 1(st) June 2004 and the 31(st) May 2005 as a result of two or more TB reactors by the Single Intradermal Comparative Tuberculin Test (SICTT) were considered for study"
"533","TWrex-diagnose","tuberculosis","180","192","tuberculin","122","132","The histologic and bacteriologic diagnosis of tuberculous lymphnodes was unexpected, as the patient was unreactive to the tuberculin skin test and had no signs of active pulmonary tuberculosis"
"534","TWrex-diagnose","tuberculosis","68","80","TB","107","109","QuantiFERON-TB Gold (QFT) is an indirect diagnostic test for latent tuberculosis (TB) infection and active TB"
"535","TWrex-diagnose","tuberculosis","18","30","tuberculin","113","123","A case of miliary tuberculosis associated with two different forms of cutaneous tuberculosis and a negative Heaf tuberculin test is reported"
"536","TWrex-diagnose","tuberculosis","265","277","TB","65","67","Peripheral blood mononuclear cells (PBMC) obtained from diabetic TB patients, non-diabetic TB patients and Mycobacterium bovis bacilli Calmette-Guérin (BCG)-vaccinated healthy subjects were cultured in the presence of complex mycobacterial antigens and pools of M. tuberculosis regions of difference (RD)1, RD4, RD6 and RD10 peptides"
"537","TWrex-diagnose","TB","87","89","PPD","152","155","Transient increases in plasma-derived IFNgamma as a result of TT during an established TB infection were more pronounced when blood was stimulated with PPD-A compared with PPD-B stimulation"
"538","TWrex-diagnose","malignant hyperthermia","33","55","halothane","105","114","Trapezius muscle from normal and malignant hyperthermia (MH) pigs was used to investigate the effects of halothane on contractile properties and on the calcium transport system of isolated surface membranes"
"539","TWrex-diagnose","tuberculosis","113","125","TB","22","24","Yet, previous work on TB fusion subunit vaccine candidate, Mtb72f, has suggested that genetic diversity among M. tuberculosis strains may compromise vaccine efficacy"
"540","TWrex-diagnose","tuberculosis","68","80","TB","82","84","QuantiFERON-TB Gold (QFT) is an indirect diagnostic test for latent tuberculosis (TB) infection and active TB"
"541","TWrex-diagnose","tuberculosis","17","29","PPD","104","107","Human and bovine tuberculosis have long been detected by skin testing with purified protein derivative (PPD), a complex mix of partly denatured mycobacterial antigens with suboptimal specificity"
"542","TWrex-diagnose","tuberculosis","235","247","PPD","37","40","Mantoux purified protein derivative (PPD) skin testing was performed in schoolchildren who were grouped according to positive (Group I, n = 205) and negative (Group II, n = 79) exposure to recent acid-fast bacilli (AFB) smear-positive tuberculosis (TB) family contact"
"543","TWrex-diagnose","tuberculosis","53","65","PPD","294","297","These data also suggest that in HIV-infected persons tuberculosis most often results from the reactivation of latent tuberculous infection; our results lend support to recommendations for the aggressive use of chemoprophylaxis against tuberculosis in patients with HIV infection and a positive PPD test"
"544","TWrex-diagnose","diabetes insipidus","312","330","vasopressin","275","286","Marked changes of the hypothalamo-pituitary axis have been documented in the acute phase of TBI, with as many as 80% of patients showing evidence of gonadotropin deficiency, 18% of growth hormone deficiency, 16% of corticotrophin deficiency and 40% of patients demonstrating vasopressin abnormalities leading to diabetes insipidus or the syndrome of inappropriate anti-diuresis"
"545","TWrex-diagnose","tuberculosis","392","404","PPD","468","471","Mycobacteria antigens derived from whole cells and cell walls of M. tuberculosis and M. bovis (BCG) and soluble purified protein derivative (PPD) prepared from M. tuberculosis were used in solid phase radioimmunoassays to measure the amount of reactive IgG antibody in serums from 54 patients with active (culture-positive) tuberculosis (Group I), 6 patients with inactive (culture-negative) tuberculosis (Group II), 15 healthy subjects who were skin test positive to PPD (Group III), and 30 healthy persons who were PPD skin"
"546","TWrex-diagnose","tuberculosis","163","175","PPD","141","144","Mycobacteria antigens derived from whole cells and cell walls of M. tuberculosis and M. bovis (BCG) and soluble purified protein derivative (PPD) prepared from M. tuberculosis were used in solid phase radioimmunoassays to measure the amount of reactive IgG antibody in serums from 54 patients with active (culture-positive) tuberculosis (Group I), 6 patients with inactive (culture-negative) tuberculosis (Group II), 15 healthy subjects who were skin test positive to PPD (Group III), and 30 healthy persons who were PPD skin"
"547","TWrex-diagnose","mumps","190","195","virus","196","201","Cultured neurons from rat dorsal root ganglia and cerebral cortex were infected with Sendai virus, which gives a productive replication with lysis of most neurons, and with the RW strain of mumps virus, which undergoes defective replication causing degeneration of only 30-40% of the neurons within 5 days after initial infection"
"548","TWrex-diagnose","tuberculosis","53","65","tuberculin","239","249","Circulating monocytes from four of six patients with tuberculosis functioned as suppressor cells; depletion of adherent cells from mononuclear cells obtained from the peripheral blood of these patients resulted in a 37-fold enhancement in tuberculin purified protein derivative-induced incorporation of [3H]thymidine"
"549","TWrex-diagnose","disorder","102","110","dexamethasone","133","146","We investigated the 1-mg dexamethasone suppression test (DST) in 41 outpatients with major depressive disorder assessing the role of dexamethasone blood level, age and basal cortisol on DST results"
"550","TWrex-diagnose","cushing's syndrome","35","53","dexamethasone","151","164","Children with a pituitary cause of Cushing's syndrome presented at an older age (mean, 15.7 years) and were diagnosed using a combination of high-dose dexamethasone testing, simultaneous inferior petrosal sinus sampling, and/or ovine corticotrophin-releasing hormone stimulation test"
"551","TWrex-diagnose","pulmonary tb","237","249","TB","139","141","In the present study, IFN-gamma secretion by peripheral blood mononuclear cells (PBMCs) in response to M. tuberculosis ESAT-6 in Brazilian TB patients was investigated in relation to clinical disease types, such as pleurisy and cavitary pulmonary TB"
"552","TWrex-diagnose","tuberculosis","12","24","TB","26","28","BACKGROUND: Tuberculosis (TB) is still a major public health problem that continues to be an important cause of morbidity and mortality at worldwide level"
"553","TWrex-diagnose","syndrome","45","53","dexamethasone","151","164","Children with a pituitary cause of Cushing's syndrome presented at an older age (mean, 15.7 years) and were diagnosed using a combination of high-dose dexamethasone testing, simultaneous inferior petrosal sinus sampling, and/or ovine corticotrophin-releasing hormone stimulation test"
"554","TWrex-diagnose","tuberculosis","84","96","PPD","111","114","In vitro proliferative response of lung cells from mice infected with Mycobacterium tuberculosis H37Rv against PPD and Con A was studied"
"555","TWrex-diagnose","tuberculosis","3","15","PPD","16","19","M. tuberculosis PPD, M. tuberculosis antigen 6, and M. tuberculosis culture filtrate were, in descending order, less accurate"
"556","TWrex-diagnose","tuberculosis","225","237","tuberculin","126","136","The mean size of TR of 60 patients was 24.0 +/- 13.9 mm and maximum size was 60 mm. Seven patients who had no reaction to the tuberculin skin test consisted of three primary complex and four serious tuberculosis (two miliary tuberculosis and two tuberculous meningitis"
"557","TWrex-diagnose","TB","120","122","tuberculin","67","77","Although BCG vaccination interferes with the interpretation of the tuberculin skin test (TST), newer tests (QuantiFERON-TB Gold, T-SPOT.TB) are unaffected by BCG vaccination"
"558","TWrex-diagnose","pulmonary tb","97","109","TB","129","131","There was a significantly higher incidence of TB, particularly amongst cases with smear-negative pulmonary TB and extrapulmonary TB, in the semi-urban population compared with the rural population"
"559","TWrex-diagnose","tuberculosis","121","133","TB","135","137","Peripheral CD4 T-cell depletion has been observed in human immunodeficiency virus (HIV)-negative patients with pulmonary tuberculosis (TB"
"560","TWrex-diagnose","bladder","82","89","bethanechol chloride","15","35","The failure of bethanechol chloride to induce voiding in patients with neurogenic bladder, despite a positive bethanechol test, is being reported more frequently"
"561","TWrex-diagnose","tuberculosis","146","158","tuberculin","85","95","The high prevalence of A(*)-in positivity in Burma, its reciprocal relationship with Tuberculin there and the results for all the antigens in the tuberculosis patients indicate that the cell mediated skin test response may have a threshold"
"562","TWrex-diagnose","thyroid","138","145","thyrotrophin releasing hormone","254","284","Although levels of thyroxine and triiodothyronine were lower after treatment (p less than 0.05), there were no changes in basal levels of thyroid-stimulating hormone (TSH), luteinizing hormone (LH) or follicle-stimulating hormone (FSH), and responses to thyrotrophin releasing hormone (TRH) and luteinizing hormone releasing hormone (LHRH) were unchanged"
"563","TWrex-diagnose","bladder","82","89","bethanechol","15","26","The failure of bethanechol chloride to induce voiding in patients with neurogenic bladder, despite a positive bethanechol test, is being reported more frequently"
"564","TWrex-diagnose","diabetes insipidus","22","40","vasopressin","104","115","She had suffered from diabetes insipidus for ten years, and hormonal study revealed low plasma level of vasopressin"
