"index","relation-type","term1","b1","e1","term2","b2","e2","sentence"
"871","TWrex-prevent","erythema","119","127","thalidomide","66","77","Therefore, there is a need to develop nonteratogenic analogues of thalidomide that can provide effective treatment for erythema nodosum leprosum and other serious conditions without increasing the potential for another epidemic of thalidomide-related birth defects"
"872","TWrex-prevent","GVHR","165","169","cyclosporin","72","83","We have evaluated the effects of three potent immunosuppressive agents: cyclosporin A, FK506, and rapamycin, on a murine chronic graft-versus-host response (chronic GVHR"
"873","TWrex-prevent","infection","177","187","TMP","121","124","In conclusion, once-daily oral dosing with lomefloxacin is a safe and efficacious alternative to twice-daily dosing with TMP/SMX in the treatment of uncomplicated urinary tract infections"
"874","TWrex-prevent","diarrhea","132","140","agent","73","78","These findings indicate that berberine may be an effective antidiarrheal agent in E coli heat-stable enterotoxin mediated secretory diarrhea and provide a basis for the frequent empirical use of berberine alkaloid and berberine-containing plants in gastroenteritis and infectious diarrhea in Asian and other countries"
"875","TWrex-prevent","osteoporosis","172","184","vitamin","140","147","These results indicate that a chronopharmacological approach is beneficial for establishing a more effective and/or safer regimen of active vitamin D3 for the treatment of osteoporosis"
"876","TWrex-prevent","infection","223","232","erythromycin","57","69","We conclude that neonatal ocular prophylaxis with either erythromycin or tetracycline ophthalmic ointment does not significantly reduce the incidence of chlamydial conjunctivitis in the offspring of mothers with chlamydial infection as compared with silver nitrate, and that better management of maternal chlamydial infection is therefore required"
"877","TWrex-prevent","rosacea","173","180","metronidazole","134","147","Proposed gels, with similar rheological properties, may be used for ex vivo and in vivo studies to obtain a suitable drug activity of metronidazole in the treatment of acne rosacea"
"878","TWrex-prevent","hepatitis a","84","95","HAV","152","155","Clinical trials in developed countries have demonstrated its efficacy in preventing hepatitis A in high risk groups, such as travelers to regions where HAV infection is endemic and day care children and staff, its efficacy in postexposure conditions and in community outbreaks"
"879","TWrex-prevent","disorder","51","59","lithium","20","27","The introduction of lithium salts to treat bipolar disorder (BPD) revolutionized the therapy of psychiatric illnesses, but the pathogenesis of the disease and the mechanism of lithium action remain unknown"
"880","TWrex-prevent","fungal infection","74","91","AmB","175","178","ABLC is a promising, well-tolerated and effective drug for the therapy of fungal infections after the failure of a previous antifungal therapy or after toxic reactions due to AmB"
"881","TWrex-prevent","vitamin e deficiency","185","205","vitamin e","321","330","Vitamin E and essential fatty acid status were examined in two groups of patients, one receiving fat-free total parenteral nutrition (TPN) with intravenous all-rac-alpha-tocopherol for vitamin E deficiency and the other receiving routine intravenous fat (Intralipid, 10%) emulsions with TPN to supply both fatty acid and vitamin E requirements"
"882","TWrex-prevent","rabies","204","210","vaccine","15","22","A human rabies vaccine prepared in HDC and already licensed for post-exposure vaccination showed only some post-exposure activity in this newly developed potency test, whereas an experimental inactivated rabies vaccine protected all mice"
"883","TWrex-prevent","thrombosis","146","156","heparin","120","127","All patients suffered hemispheric ACI, were seen within 24 hours of onset, and were treated with low dose, subcutaneous heparin to prevent venous thrombosis; 25 received 10 mg"
"884","TWrex-prevent","night blindness","100","115","vitamin a","19","28","Greater intakes of vitamin A than provided and/or other nutrients may be needed to prevent maternal night blindness in rural South Asia"
"885","TWrex-prevent","anaemia","219","226","iron","80","84","27 patients had primary bone marrow disease, 25 patients had absent bone marrow iron stores accompanied by inflammation, 17 patients had anaemia of chronic disease (ACD) and 8 patients had uncomplicated iron deficiency anaemia (IDA"
"886","TWrex-prevent","urinary incontinence","143","163","chloride","24","32","Intravesical oxybutynin chloride was administered to 10 children with neurogenic bladder (myelomeningocele in 9 and imperforate anus in 1) and urinary incontinence refractory to regimens of intermittent catheterization and oral anticholinergic medication"
"887","TWrex-prevent","am","147","150","acetazolamide","104","117","Overall, the results indicated that increases in CBF were similar in subjects with or without AMS while acetazolamide-provoked increases of CBF in AMS subjects caused no acute change in symptoms"
"888","TWrex-prevent","AIDS","77","81","3TC's","26","31","Consumer groups warn that 3TC's high cost may prevent it from being added to AIDS Drug Reimbursement Programs"
"889","TWrex-prevent","cirrhosis","48","57","acid","16","20","Ursodeoxycholic acid therapy in primary biliary cirrhosis reduces cholestasis and prolongs transplant-free survival; no other drugs are of proven efficacy in primary biliary cirrhosis, and none have any benefit on the disease progression of primary sclerosing cholangitis"
"890","TWrex-prevent","depletion","386","395","NaCl","136","140","The sexual dimorphism of sodium intake is a secondary sexual characteristic because after castration at 1 day of age male rats drank 3% NaCl in adulthood in a manner similar to that of females in both the need-free and need-induced state, and females given long-term, neonatal testosterone drank low, malelike volumes of 3% NaCl on a daily need-free basis, but their response to sodium depletion was unchanged"
"891","TWrex-prevent","incontinence","151","163","chloride","24","32","Intravesical oxybutynin chloride was administered to 10 children with neurogenic bladder (myelomeningocele in 9 and imperforate anus in 1) and urinary incontinence refractory to regimens of intermittent catheterization and oral anticholinergic medication"
"892","TWrex-prevent","disease","337","344","tacrine","133","140","Two classes of medications have been approved by the US FDA for the treatment of Alzheimer's disease: the cholinesterase inhibitors (tacrine, donepezil, rivastigmine, galantamine), mostly for mild to moderate Alzheimer's disease, and the noncompetitive NMDA receptor antagonist memantine for the moderate to severe stages of Alzheimer's disease"
"893","TWrex-prevent","myocardial infarction","104","125","clopidogrel","220","231","Recently, the results of two major trials Clopidogrel as Adjunctive Reperfusion Therapy-Thrombolysis in Myocardial Infarction 28, Clopidogrel and Metoprolol in Myocardial Infarction Trial established the pivotal role of clopidogrel in the other spectrum of ACS-STEMI"
"894","TWrex-prevent","Crohn","153","160","azathioprine","7","19","Use of azathioprine/mercaptopurine for induction and maintenance of remission in corticosteroid-dependent or corticosteroid-refractory IBD, particularly Crohn's disease, is evidence based"
"895","TWrex-prevent","ventricular premature complex","19","50","disopyramide","92","104","The mean number of ventricular premature complexes per hour was reduced to 156 +/- 217 with disopyramide alone, 188 +/- 298 with mexiletine alone and 76 +/- 144 with combination therapy (p less than 0.05 for combination therapy versus disopyramide or mexiletine alone; p = NS for disopyramide versus mexiletine"
"896","TWrex-prevent","deficiency","129","139","cobalamin","119","128","Folate fortification of the diet and supplement use have also markedly reduced the frequency of folate deficiency, and cobalamin deficiency is now the more common deficiency state, especially among the elderly"
"897","TWrex-prevent","thrombosis","28","38","fondaparinux","93","105","The prevalence of deep-vein thrombosis was similar in the two groups 5.5% (22 of 400) in the fondaparinux group and 4.8 (19 of 395) in the fondaparinux plus stocking group (odds ratio 0.88, 95% confidence interval 0.46 to 1.65, p = 0.69"
"898","TWrex-prevent","thrombosis","59","69","warfarin","144","152","A 47-year-old woman with a history of anemia and deep vein thrombosis presented to the hospital with worsening leg edema despite treatment with warfarin"
"899","TWrex-prevent","GVHD","104","108","mycophenolate mofetil","24","45","Cyclosporin A (CsA) and mycophenolate mofetil (MMF) were used to prevent the graft-versus-host disease (GVHD"
"900","TWrex-prevent","complex","88","97","disopyramide","401","413","Individually, an effective regimen (greater than 83% reduction in ventricular premature complexes and abolition of nonsustained ventricular tachycardia) was found in 5 (24%) of 21 patients during therapy with disopyramide alone, in 3 (14%) receiving mexiletine alone and in 13 (62%) receiving combination therapy (p less than 0.05 for combination therapy versus disopyramide or mexiletine; p = NS for disopyramide versus mexiletine"
"901","TWrex-prevent","malaria","63","70","antimalarial drug","134","152","Artemisinin drugs are of utmost importance in the treatment of malaria, because they represent the sole class of therapeutically used antimalarial drugs to which malaria parasites have not yet developed resistance"
"902","TWrex-prevent","anemia","94","100","iron","44","48","It illustrates the importance of performing iron studies to confirm suspected iron deficiency anemia (IDA"
"903","TWrex-prevent","angina pectoris","186","201","carvedilol","27","37","We examined the effects of carvedilol on cardiac parameters in order to clarify whether beta-blocker may affect left ventricular function in elderly Japanese patients with hypertension, angina pectoris, or both"
"904","TWrex-prevent","disease","138","145","cyclosporin","45","56","A randomized trial was carried out comparing cyclosporin A (CsA) and short-term methotrexate (MTX) versus CsA alone for graft versus host disease (GVHD) prophylaxis in patients with severe aplastic anemia (SAA) undergoing allogeneic bone marrow transplantation (BMT) from a compatible sibling"
"905","TWrex-prevent","APL","19","22","atra","119","123","Updated results of APL 91 trial found a Kaplan-Meier estimate of EFS and relapse rate at 4 years of 63% and 31% in the ATRA group, as compared to 17% and 78% in the chemotherapy group (P= 10(-4) and relative risk 2.95, P= 10(-4) and relative risk 3.68, respectively"
"906","TWrex-prevent","hyponatremia","49","61","chloride","148","156","After birth the baby suffered from polyuria with hyponatremia, hypomagnesemia and hypercalciuria which could be controlled by treatment with sodium chloride and magnesium"
"907","TWrex-prevent","deficiency","45","55","riboflavin","34","44","For the first time, a significant riboflavin deficiency has been found to be related to CTS. Riboflavin therapy was effective biochemically, subjectively, and objectively, and riboflavin and pyridoxine were even more effective when concomitantly administered"
"908","TWrex-prevent","arrhythmia","172","183","encainide","0","9","Encainide is effective in suppressing non-life-threatening ventricular arrhythmias; however, inconsistent results have been noted in patients with more serious ventricular arrhythmias"
"909","TWrex-prevent","mucormycosis","32","44","amphotericin b","142","156","Two patients with rhinocerebral mucormycosis had progression of their infection to brain abscesses despite aggressive débridement surgery and amphotericin B therapy"
"910","TWrex-prevent","heart failure","35","48","candesartan cilexetil","114","135","Based on the CHARM (Candesartan in Heart failure: Assessment of Reduction in Mortality and morbidity)-Added data, candesartan cilexetil in addition to standard HF therapy results in a further reduction of cardiovascular mortality"
"911","TWrex-prevent","pain","152","156","aspirin","116","123","The presence of a (fortuitously?) associated increase in platelet aggregability initially led to a trial regimen of aspirin (300 mg per day); abdominal pain resolved, and a partial regression of portal vein thrombosis was demonstrated on ultrasonograms six months later; no further complications occurred during the 4-year follow-up period"
"912","TWrex-prevent","pain","103","107","paracetamol","79","90","Familiarity with and use of paracetamol, perceived strengths and weaknesses of paracetamol for chronic pain, and choices given about therapy changes were investigated"
"913","TWrex-prevent","testicular tumor","9","26","platinum","129","137","Advanced testicular tumors in 34 patients were treated by combination chemotherapy with bleomycin, vinblastine, vincristine, cis platinum and actinomycin D. The therapy was divided into 3 phases: 1) induction, 2) consolidation and 3) maintenance"
"914","TWrex-prevent","ventricular premature complex","19","50","disopyramide","280","292","The mean number of ventricular premature complexes per hour was reduced to 156 +/- 217 with disopyramide alone, 188 +/- 298 with mexiletine alone and 76 +/- 144 with combination therapy (p less than 0.05 for combination therapy versus disopyramide or mexiletine alone; p = NS for disopyramide versus mexiletine"
"915","TWrex-prevent","malaria","136","143","chloroquine","48","59","In addition, 28.3% of respondents believed that chloroquine can cause abortion, and only 47.4% of students and teachers were aware that malaria is more serious in primigravidas than multigravidas"
"916","TWrex-prevent","gvhd","27","31","prednisone","83","93","Graft-versus-host disease (GVHD) prophylaxis consisted mostly of cyclosporine with prednisone"
"917","TWrex-prevent","vomiting","205","213","antiemetic","54","64","Palonosetron (Aloxi) is a 5-HT(3)-receptor antagonist antiemetic indicated for the prevention of acute and delayed nausea and vomiting following moderately emetogenic chemotherapy and for acute nausea and vomiting following highly emetogenic chemotherapy"
"918","TWrex-prevent","Ida","156","159","iron","132","136","Summation of negative effects of hypoxia and lysosome-tropic properties of Ferrum Lec was observed in patients with severe stage of iron-deficiency anemia (IDA), and in rabbits with experimental IDA, during treatment by intravenous injections of Ferrum Lec"
"919","TWrex-prevent","rotavirus infection","114","133","rotavirus","65","74","Infant formula supplemented with bovine antibody (BCIg) to human rotavirus has been reported to prevent or modify rotavirus infection and illness"
"920","TWrex-prevent","CMV","50","53","ganciclovir","205","216","The eyes of an AIDS patient with cytomegalovirus (CMV) retinitis and pneumonitis who died while receiving maintenance therapy with the antiviral agent 9-[2-hydroxy-1-(hydroxymethyl) ethoxymethyl] guanine (Ganciclovir) were obtained for pathological examination"
"921","TWrex-prevent","onychomycosis","43","56","ciclopirox","15","25","Treatment with ciclopirox nail lacquer for onychomycosis has a favorable risk-benefit ratio"
"922","TWrex-prevent","caries","64","70","fluoride","52","60","Theoretically, one can improve the effectiveness of fluoride in caries-preventive programs by using measures that are more effective than the previous ones and still safe and feasible in everyday conditions"
"923","TWrex-prevent","infection","190","200","DHPG","118","122","-HPMPC proved more inhibitory to CMV replication and CMV DNA synthesis than 9-(1,3-dihydroxy-2-propoxymethyl)guanine (DHPG, ganciclovir), the current drug of choice for the treatment of CMV infections"
"924","TWrex-prevent","varicella","130","139","acyclovir","67","76","Of 786 children and adolescents enrolled in a multicenter trial of acyclovir for chickenpox, 27 (3.4%) met the case definition of varicella-zoster virus (VZV) hepatitis (serum aspartate aminotransferase level > or = 100 U/l"
"925","TWrex-prevent","urinary tract infection","89","112","ciprofloxacin","0","13","Ciprofloxacin prophylaxis is effective and safe in the prevention of catheter-associated urinary tract infection and related morbidity in selected groups of patients requiring 3 to 14 days of bladder drainage"
"926","TWrex-prevent","DVT","153","156","tinzaparin","0","10","Tinzaparin, a sodium salt of a low-molecular-weight heparin (LMWH) produced via heparinase digestion, is used for the treatment of deep vein thrombosis (DVT) and pulmonary embolism in conjunction with warfarin for the prevention of DVT in patients undergoing hip or knee replacement surgery, and as an anticoagulant in hemodialysis circuits"
"927","TWrex-prevent","neuralgia","108","117","carbamazepine","51","64","A review of the literature on adverse reactions to carbamazepine used in treatment of paroxysmal trigeminal neuralgia is presented and a survey of 120 cases is reported"
"928","TWrex-prevent","onchocerciasis","17","31","ivermectin","83","93","In Uganda, human onchocerciasis is controlled by annual, mass, community-directed, ivermectin-treatment programmes (CDITP) in all endemic communities where the prevalence of the disease is > or = 30%"
"929","TWrex-prevent","plague","31","37","vaccine","38","46","The future of Salmonella-based plague vaccines seems to lie in the use of chromosomally encoded plague antigens and the use of in vivo inducible promoters to drive their expression"
"930","TWrex-prevent","malaria","22","29","chloroquine","144","155","Specialists preparing malaria preventive guidelines have, therefore, preferred to recommend the use of relatively safe antimalarial drugs, like chloroquine and proguanil, provided they offer non-immune travellers adequate protection against P. falciparum infections"
"931","TWrex-prevent","leprosy","47","54","rifampicin","147","157","The cure rates of two treatment regimens in PB leprosy were compared in a prospective randomized trial: treatment U consisting of a single dose of rifampicin 40 mg/K bodyweight, and treatment A of rifampicin 1500 mg in a single dose, followed by one year of daily dapsone 100 mg"
"932","TWrex-prevent","JRA","75","78","etanercept","214","224","Anticytokine biologics have demonstrated great promise in the treatment of JRA and a variety of other pediatric rheumatic diseases, although at this time the randomized, placebo-controlled data are limited only to etanercept in children with polyarticular JRA"
"933","TWrex-prevent","stroke","70","76","warfarin","148","156","The National Institute of Neurological Disorders and Stroke-sponsored Stroke Prevention in Atrial Fibrillation (SPAF) studies assessed the value of warfarin, aspirin, and their combination for preventing stroke in six multicenter trials involving 3950 participants"
"934","TWrex-prevent","parkinsonism","32","44","carbidopa","195","204","Eight sufferers from idiopathic Parkinsonism, mean age 69.9 y, were studied: all exhibited &quot;end of dose&quot; effect within 4 h of a dose of their maintenance therapy with levodopa (100 mg)/carbidopa (25 mg) in a conventional release formulation, Sinemet Plus"
"935","TWrex-prevent","infection","201","211","cefotaxime","73","83","It is concluded that single-dose genitourinary surgical prophylaxis with cefotaxime may be more effective than a longer dosing schedule with cefoxitin in the prevention of post-operative urinary tract infections, and that a single-dose regimen may represent significant cost containment advantages for hospitals"
"936","TWrex-prevent","NTD","43","46","acid","175","179","PH's message regarding neural tube defect (NTD) prevention is equally clear: all women of childbearing age who are capable of becoming pregnant should consume 0.4 mg of folic acid daily to reduce the risk of NTDs"
"937","TWrex-prevent","gonorrhea","145","154","ampicillin","41","51","Selective mass treatment (SMT) with oral ampicillin-probenecid or tetracycline was then given to registered FSWs in an attempt to further reduce gonorrhea rates"
"938","TWrex-prevent","leprosy","16","23","thalidomide","168","179","It is said that leprosy reaction should be properly classified for therapeutic reasons, since it is well known that in Lucio phenomenon there is not a good response to thalidomide"
"939","TWrex-prevent","gvhd","31","35","cyclosporin","50","61","For graft-versus-host disease (GVHD) prophylaxis, cyclosporin A (CsA) and mycophenolate mofetil (MMF) were given"
"940","TWrex-prevent","VTE","91","94","enoxaparin","145","155","Available studies indicate that hirudin is significantly more effective for prophylaxis of VTE after total hip replacement than is either UFH or enoxaparin"
"941","TWrex-prevent","plague","31","37","streptomycin","53","65","The drug of choice (except for plague meningitis) is streptomycin, with tetracyclines being alternatives"
"942","TWrex-prevent","infection","316","326","amphotericin","108","120","In this article, we review the clinical pharmacokinetics, safety, and efficacy of the lipid formulations of amphotericin B with special emphasis on pediatric data, and we seek to provide a rational framework for the determination of their current role in patients with cancer and proven or suspected invasive fungal infections"
"943","TWrex-prevent","diabetes","233","241","lispro","139","145","Furthermore, the early insulin exposure and action of insulin glulisine were slightly -- but consistently -- greater than those of insulin lispro in healthy volunteers across a wide range of BMIs.Meal studies in patients with type 1 diabetes show that insulin glulisine provides better postprandial blood glucose control than regular human insulin when administered immediately pre-meal, and equivalent control when given after the meal"
"944","TWrex-prevent","type 1 diabetes","226","241","insulin glulisine","252","269","Furthermore, the early insulin exposure and action of insulin glulisine were slightly -- but consistently -- greater than those of insulin lispro in healthy volunteers across a wide range of BMIs.Meal studies in patients with type 1 diabetes show that insulin glulisine provides better postprandial blood glucose control than regular human insulin when administered immediately pre-meal, and equivalent control when given after the meal"
"945","TWrex-prevent","hepatitis","68","77","HBsAg","290","295","To investigate the amount of hepatitis B virus (HBV) in colostra of hepatitis B e antigen (HBeAg)-positive carrier mothers and the relationship of HBV amount between colostrum and maternal blood, 50 HBeAg-positive carrier mothers were recruited and studied for hepatitis B surface antigen (HBsAg) titer, HBeAg titer, and HBV-DNA concentration in their sera and colostra"
"946","TWrex-prevent","deficiency","158","168","cyanocobalamin","275","289","Thin-layer chromatography and bioautography were used to study the cobalamin pattern of plasma, erythrocytes, and hepatic tissue from patients with cobalamin deficiency on maintenance therapy with hydroxocobalamin (Vibeden), a cyanocobalamin depot preparation (Betolvex), or cyanocobalamin tablets (Behepan"
"947","TWrex-prevent","pain","47","51","capsaicin","75","84","The effect of cysteamine treatment on chemical pain was investigated using capsaicin as the pain-producing stimulus"
"948","TWrex-prevent","hypercholesterolaemia","67","88","gemfibrozil","16","27","The efficacy of gemfibrozil in the treatment of resistant familial hypercholesterolaemia and type III hyperlipoproteinaemia was evaluated in 26 individuals over a mean period of 16 months"
"949","TWrex-prevent","hepatitis b","139","150","hbsag","96","101","Mental health care facilities should routinely survey inpatient populations for the presence of HBsAg positivity and consider establishing Hepatitis B serologic screening and vaccination programs for personnel involved in delivering care"
"950","TWrex-prevent","ulcer","13","18","ranitidine","124","134","The duodenal ulcer recurrence rate was 4% (5 of 132 patients); 3% (2 of 70) in the omeprazole group and 5% (3 of 62) in the ranitidine group healed"
"951","TWrex-prevent","bleeding","156","164","thrombin","106","114","The three topical hemostatic agents--gelatin paste, microfibrillar collagen, and gelatin sponge soaked in thrombin--individually were effective in reducing bleeding from cancellous bone, as tested on the femoral surface of trochanteric osteotomies during total hip replacement"
"952","TWrex-prevent","pertussis","105","114","vaccine","115","123","The coming availability of adolescent- and adult-formulated diphtheria and tetanus toxoids and acellular pertussis vaccines for adolescents and adults and their widespread use should reduce the reservoir of B pertussis disease"
"953","TWrex-prevent","arterial hypertension","60","81","losartan","351","359","To gain insight into the regulation of cardiac apoptosis in arterial hypertension, we investigated the expression of the proteins Bcl-2 (an inhibitor of apoptosis) and Bax (an inducer of apoptosis) in the left ventricle of 30-week-old normotensive Wistar-Kyoto rats (WKY), SHR, and SHR treated with the angiotensin II type 1 receptor (AT1) antagonist losartan (20 mg x kg(-1) x d(-1)) during 14 weeks before death"
"954","TWrex-prevent","pertussis","92","101","vaccine","102","109","Most deaths occur in the first 3 months of life, before administration of the first dose of pertussis vaccine"
"955","TWrex-prevent","infection","97","107","amphotericin b","152","166","Conventional amphotericin B is considered the gold standard for the treatment of invasive fungal infections; however, adverse events limit conventional amphotericin B treatment"
"956","TWrex-prevent","gvhd","47","51","cyclosporine","72","84","Prophylaxis against graft-versus-host disease (GVHD) was performed with cyclosporine A (CSA) alone"
"957","TWrex-prevent","osteoarthritis","138","152","naproxen","56","64","These results indicate that etodolac is as effective as naproxen, piroxicam, and diclofenac for the treatment of rheumatoid arthritis and osteoarthritis"
"958","TWrex-prevent","infarction","125","135","streptokinase","161","174","The time course and characteristics of ventricular arrhythmias were studied in 45 consecutive patients with acute myocardial infarction who received intravenous streptokinase and underwent 24-hour Holter monitoring both after admission and before discharge 8 +/- 3 days later"
"959","TWrex-prevent","emesis","106","112","aprepitant","173","183","Aprepitant increases the effect of a serotonin(3)-receptor antagonist plus a corticosteroid against acute emesis induced by highly or moderately emetogenic chemotherapy and aprepitant is also active in the protection against delayed emesis"
"960","TWrex-prevent","CMV","63","66","acyclovir","32","41","We report the successful use of acyclovir in a serious case of CMV infection occurring in a young woman 3 1/2 years after a renal transplant"
"961","TWrex-prevent","DVT","203","206","heparin","132","139","We will then discuss the recommendations for initial anticoagulant therapies including low molecular weight heparin, unfractionated heparin, and fondaparinux for patients with both deep vein thrombosis (DVT) and pulmonary embolism (PE"
"962","TWrex-prevent","chronic myelogenous leukemia","248","276","idarubicin","29","39","These findings indicate that idarubicin--although it cannot replace established drugs for the chronic phase of the disease--represents an added therapeutic resource for producing rapid cytolysis at onset and, above all, in the accelerated phase of chronic myelogenous leukemia"
"963","TWrex-prevent","infection","64","74","amphotericin b","0","14","Amphotericin B, the gold standard treatment for invasive fungal infections, is associated with significant adverse reactions, particularly nephrotoxicity, that make it difficult to administer as home infusion therapy"
"964","TWrex-prevent","myocardial infarct","110","128","aspirin","180","187","The effect of the nitro-derivative of aspirin, NCX4016, was assessed on ischaemic ventricular arrhythmias and myocardial infarct size in anaesthetized pigs in comparison to native aspirin"
"965","TWrex-prevent","hepatitis","234","243","HBsAg","263","268","With few exceptions, low-dose intradermal plasma-derived vaccines have elicited protective levels of antibody in 82%-100% of young healthy adults--a proportion similar to that noted with full-dose regimens; peak levels of antibody to hepatitis B surface antigen (HBsAg) are lower with reduced doses, however"
"966","TWrex-prevent","vitamin b12 deficiency","336","358","vitamin","146","153","Taken together with our prior report on a patient with pernicious anemia in whom the decreased level of CD8-positive blood cells was corrected by vitamin B12 therapy, it may be considered that the reversible CD4/CD8 imbalance of blood cells noted in some cases of pernicious anemia is not pathognomonic for the disease but secondary to vitamin B12 deficiency"
"967","TWrex-prevent","malaria","107","114","chloroquine","133","144","Glucose-6-phosphate dehydrogenase-normal adult volunteers infected with mosquito-bone Chesson strain vivax malaria were treated with chloroquine and primaquine during the initial attack"
"968","TWrex-prevent","pain","92","96","ibuprofen","152","161","In summary, MK-0703 50 and 100 mg were efficacious in the treatment of postoperative dental pain and were indistinguishable from the active comparator, ibuprofen 400 mg"
"969","TWrex-prevent","headache","74","82","sumatriptan","165","176","Flow cytometric analysis of monocytes expressing 5-HT receptor in cluster headache patients showed different trends clearly correlated with the clinical response to sumatriptan"
"970","TWrex-prevent","psoriasis","172","181","betamethasone dipropionate","195","221","A 41 year old woman had been suffering for nine months from a generalized pustular psoriasis which had occurred after a three week topical corticosteroid therapy of plaque psoriasis with 90 g of betamethasone dipropionate + 2% salicylic acid"
